,Number,Name,RA,DEC,Type,V,posunc,centerdist,RA_rate,DEC_rate,geodist,heliodist,alpha,elong,x,y,z,vx,vy,vz,epoch
0,,172P,63.48785499999999,29.589962777777778,Comet,22.3,0.29,3.464,15.0679,0.379,5.05154138241,5.01207719508,11.31,82.02,1.032615302,4.165284913,2.592159498,-0.006824748,0.000369967,0.001059528,2459640.0
1,122955,2000 SU203,63.54035541666666,29.550150277777778,MB>Middle,20.8,0.02,215.324,41.8911,3.455,2.481296346,2.5445747215,22.74,82.06,0.051054998,2.169739591,1.323423107,-0.010816151,-0.000210566,0.00065512,2459640.0
2,,2021 RV11,63.4967275,29.510291666666667,Mars-Crosser,26.3,99.06,287.581,66.0007,2.323,1.95269580084,2.06730763788,28.43,82.01,-0.147495294,1.739147902,1.055566839,-0.011939429,0.004167753,0.002049194,2459640.0
3,,2019 LM18,63.62817958333333,29.613460833333335,MB>Outer,23.4,0.195,443.967,29.565,1.559,3.25971399982,3.27703849458,17.46,82.15,0.340472819,2.769723467,1.707138209,-0.009076405,0.001263983,0.001396055,2459640.0
4,595978,2004 RA364,63.63823833333333,29.61479388888889,MB>Outer,22.3,0.059,475.788,32.5814,-1.148,3.1122082461,3.13691988287,18.27,82.15,0.284885643,2.652863142,1.638721734,-0.009491197,0.001760186,0.000388584,2459640.0
5,90888,1997 AB3,63.618422499999994,29.471365277777775,MB>Middle,19.3,0.028,588.653,58.0968,-4.38,2.08267984224,2.18384424479,26.79,82.11,-0.097854731,1.856210973,1.133740815,-0.012461976,0.001066904,-0.001477175,2459640.0
6,,2015 HC89,63.53453833333333,29.42591861111111,MB>Middle,24.1,1.823,607.323,28.6505,3.162,3.11314445978,3.13564496763,18.27,82.03,0.288279486,2.662837941,1.625304487,-0.008664611,0.000180256,0.001522109,2459640.0
7,359583,2010 UQ41,63.53677624999999,29.75469638888889,MB>Outer,21.8,0.015,611.872,31.6137,2.537,3.10323711805,3.12740443701,18.33,82.1,0.283845425,2.644002682,1.635847106,-0.009448983,0.000933036,0.00153974,2459640.0
8,466506,2014 DE89,63.4676925,29.396953888888888,MB>Middle,21.9,0.089,697.758,34.6352,2.871,2.80449663961,2.84343643833,20.23,81.97,0.177268057,2.424422114,1.476480974,-0.010020832,-0.000469293,0.000601644,2459640.0
9,,2019 GS86,63.52194375,29.358189722222225,MB>Middle,23.4,0.129,840.504,34.6064,3.309,2.771460305,2.81315500597,20.46,82.0,0.162207265,2.400657025,1.457923289,-0.009890705,-0.000500332,0.000764477,2459640.0
10,,2010 TH121,63.58261958333333,29.80925138888889,MB>Outer,23.0,0.255,842.273,31.0937,1.722,3.08210050397,3.10822175183,18.45,82.15,0.273233136,2.629975215,1.63075713,-0.009478715,0.000303262,0.000886686,2459640.0
11,,2007 SK19,63.29472874999999,29.75351861111111,MB>Middle,22.5,0.369,846.235,46.8056,7.582,2.36145144834,2.43182373331,23.85,81.89,0.014036151,2.068490099,1.266769868,-0.011599038,-0.000140723,0.001766006,2459640.0
12,69950,1998 VW4,63.68814416666666,29.76144,MB>Outer,19.2,0.017,877.252,46.0919,0.951,2.51479412951,2.57829247796,22.44,82.23,0.060753656,2.187933966,1.349048043,-0.011686922,0.001226443,0.000415022,2459640.0
13,,2014 QU210,63.627607083333324,29.819109166666667,MB>Outer,22.4,0.043,932.156,31.8431,-1.419,3.12231516049,3.14705111637,18.21,82.19,0.287905215,2.66010985,1.656245385,-0.009747536,0.000719076,-0.000266504,2459640.0
14,476685,2008 TN80,63.470353749999994,29.84891972222222,MB>Middle,22.8,0.113,934.33,33.9612,1.568,2.80082495065,2.84157424262,20.25,82.06,0.169226499,2.410854722,1.494586312,-0.009646999,-0.000243906,0.000441591,2459640.0
15,,2016 WA48,63.64937875,29.360625000000002,MB>Outer,22.4,0.208,966.431,38.9923,6.547,2.64207431776,2.69431343609,21.41,82.11,0.110966326,2.300879523,1.39015191,-0.010725522,-0.000249531,0.001783541,2459640.0
16,,2014 QG315,63.60541291666666,29.84229222222222,MB>Outer,22.4,0.1,978.894,35.6107,-0.96,2.94377457572,2.97789811553,19.29,82.17,0.221772847,2.518307075,1.567004071,-0.010215917,0.001195488,7.9583e-05,2459640.0
