,Number,Name,RA,DEC,Type,V,posunc,centerdist,RA_rate,DEC_rate,geodist,heliodist,alpha,elong,x,y,z,vx,vy,vz,epoch
0,65803,Didymos,115.05397083333332,27.34710833333333,NEA>Apollo,20.0,0.001,10.714,43.2044,-14.817,0.91219276092,1.64373083935,32.35,118.24,-1.231523976,0.887712861,0.480573922,-0.012164795,-0.00626015,-0.002082714,2460010.0
1,,2023 AR8,114.94755166666666,27.356162222222224,MB>Middle,22.2,0.0,331.337,12.5018,-25.608,1.48130810347,2.14441814972,24.21,118.15,-1.469856849,1.351428674,0.777123504,-0.008852269,-0.006925139,-0.006242808,2460010.0
2,489966,2008 SA45,114.95926666666665,27.396268055555556,MB>Inner,22.8,0.094,342.103,3.1134,-7.858,1.98918678011,2.61544480003,19.63,118.15,-1.665193729,1.740663177,0.978928557,-0.008192535,-0.004732374,-0.002405118,2460010.0
3,,2009 AP64,115.06954125,27.441018333333332,MB>Middle,22.5,0.095,344.506,4.9222,-1.844,2.20027898792,2.81601968921,18.16,118.24,-1.746596289,1.917669182,1.068841174,-0.008262972,-0.005856145,-0.001383168,2460010.0
4,,2017 NN25,115.18061583333332,27.279206388888888,MB>Inner,23.3,3.638,481.742,0.9302,-2.048,2.16899524312,2.7879244426,18.33,118.37,-1.749544605,1.895074192,1.052709123,-0.00707026,-0.006042202,-0.001821821,2460010.0
5,111252,2001 XA10,115.07911458333334,27.49139388888889,MB>Middle,19.5,0.004,528.414,4.4897,-6.135,2.16336415628,2.78096081093,18.4,118.23,-1.727636161,1.873867214,1.056343723,-0.008855605,-0.004297491,-0.001714318,2460010.0
6,,2015 HP225,114.89712333333333,27.413796388888887,MB>Middle,23.0,0.056,546.798,0.539,-2.133,2.44648735623,3.04897721383,16.75,118.09,-1.844524197,2.119404368,1.185291263,-0.006944791,-0.005938782,-0.001865574,2460010.0
7,,2021 QS109,114.85094291666665,27.317238888888888,Mars-Crosser,25.1,0.0,647.454,-2.1354,-5.402,2.09379421279,2.71320070784,18.91,118.07,-1.717169985,1.835176442,1.026782165,-0.006364846,-0.005640385,-0.002679652,2460010.0
8,342496,2008 UQ171,114.84660666666666,27.349223055555555,MB>Middle,21.6,0.032,652.477,3.6937,-6.228,2.22497986633,2.83739126317,18.05,118.06,-1.750459976,1.937042904,1.085895646,-0.008160587,-0.005242942,-0.002425603,2460010.0
9,16419,Kovalev,115.1826775,27.48567527777778,MB>Inner,18.7,0.003,654.202,6.7778,-8.453,1.82296912544,2.46165911479,20.88,118.32,-1.603372829,1.608508865,0.906093595,-0.008765443,-0.00536668,-0.002529642,2460010.0
10,,2019 GG121,115.16326083333333,27.182893333333336,MB>Outer,22.7,0.074,691.44,2.1663,-6.989,2.39382392615,3.00209422451,16.97,118.38,-1.826162743,2.06661109,1.15887196,-0.008069197,-0.004731029,-0.002618625,2460010.0
11,,2007 US110,115.05411208333332,27.54330277777778,MB>Middle,22.5,0.021,707.48,2.2278,-5.282,2.34057714961,2.94910420173,17.32,118.2,-1.802904458,2.026078763,1.145940012,-0.00767844,-0.005528162,-0.002417983,2460010.0
12,,2021 OY1,114.82002083333332,27.342593333333333,MB>Middle,23.7,44.1,737.61,-0.5466,-0.956,2.74335651168,3.3335140737,15.29,118.04,-1.946298533,2.339301335,1.304397581,-0.007739652,-0.003364971,-0.000157537,2460010.0
13,535429,2015 AK241,114.90145791666666,27.50459777777778,MB>Middle,21.5,0.014,741.565,5.1709,-18.971,1.78787168603,2.42612063745,21.25,118.08,-1.589026506,1.588037955,0.914540439,-0.008052735,-0.005913213,-0.00537019,2460010.0
