,Number,Name,RA,DEC,Type,V,posunc,centerdist,RA_rate,DEC_rate,geodist,heliodist,alpha,elong,x,y,z,vx,vy,vz,epoch
0,388188,2006 DP14,135.65394416666666,3.1045375,NEA>Apollo,18.3,0.109,136.471,-46.7449,35.278,0.45376976128,1.40579450456,22.44,147.51,-1.199844839,0.536305766,0.138253071,-0.014498931,-0.002373875,-0.003890781,2459640.0
1,97176,1999 VV210,135.6612258333333,3.229729166666667,MB>Outer,19.2,0.026,543.403,-19.8739,10.237,2.06184115256,2.95643501143,10.42,147.53,-2.406064143,1.692199193,0.2294733,-0.005264953,-0.007705514,-0.003883396,2459640.0
2,,2020 OH7,135.51070124999998,3.159101944444444,Mars-Crosser,23.3,0.763,681.784,-22.7869,28.827,2.20984803958,3.10105394413,9.97,147.37,-2.506436589,1.788195809,0.202180882,-0.005466534,-0.005948414,0.001147662,2459640.0
3,451368,2010 XA79,135.49074166666665,3.0393305555555554,MB>Outer,21.2,0.048,707.507,-18.5858,12.4,2.10941500546,3.00200810154,10.31,147.34,-2.430171558,1.726198663,0.221071656,-0.00614189,-0.007104435,-0.003259839,2459640.0
4,,2022 CO1,135.60576041666664,3.2910441666666665,NEA>Apollo,22.7,0.0,807.843,40.7654,13.176,0.45823643451,1.40982100829,22.39,147.48,-1.193188839,0.572684734,0.148187531,-0.015942295,-0.007413323,-0.005141469,2459640.0
5,,2020 SD89,135.44639666666666,3.1839830555555553,MB>Outer,21.4,0.107,929.364,-14.8401,15.874,1.81186006396,2.70963004568,11.45,147.31,-2.207672695,1.522615731,0.207533538,-0.007605349,-0.007685002,-0.002900716,2459640.0
6,,2020 UC18,135.42397333333332,3.0704930555555556,MB>Outer,22.0,0.155,932.589,-18.035,12.488,2.11890413352,3.01091880629,10.3,147.28,-2.436381099,1.736742228,0.222595258,-0.005953849,-0.00743915,-0.003239961,2459640.0
