,Number,Name,RA,DEC,Type,V,posunc,centerdist,RA_rate,DEC_rate,geodist,heliodist,alpha,elong,x,y,z,vx,vy,vz,epoch
0,8703,Nakanotadao,205.2993383333333,-4.627687777777778,MB>Inner,18.1,0.009,5.996,-16.7487,16.181,1.32437627526,2.24228320265,13.45,148.5,-2.20005845,-0.37447667,-0.032319906,0.001761089,-0.010955562,-0.003854808,2460010.0
1,,2016 VV5,205.29277666666664,-4.623194722222222,NEA>Apollo,23.4,2.56,27.935,-25.9206,-10.654,0.55695823289,1.50671290349,20.29,148.51,-1.553255775,-0.061221484,0.053571598,0.006578184,-0.009370573,-0.006570592,2460010.0
2,,2015 PA96,205.2897908333333,-4.574724444444445,MB>Middle,22.4,0.036,197.075,-18.3989,12.627,2.11796994724,3.01980462456,9.93,148.52,-2.918950676,-0.732463033,-0.100653897,0.002275351,-0.008638785,-0.003141081,2460010.0
3,8530,Korbokkur,205.25440374999997,-4.7121691666666665,MB>Inner,17.9,0.017,338.549,-20.2537,7.947,1.48984695025,2.40364778547,12.52,148.52,-2.373971289,-0.464208644,-0.040668712,0.004596262,-0.008624405,-0.00467746,2460010.0
4,231654,2009 WD163,205.34908791666666,-4.721316388888889,MB>Outer,21.3,0.059,379.849,-18.2676,7.452,2.3628523013,3.26068053151,9.21,148.43,-3.151173703,-0.849649933,-0.118410086,0.003784161,-0.007388092,-0.004033788,2460010.0
5,404361,2013 GP20,205.33367916666666,-4.734041944444445,MB>Inner,21.6,0.064,399.658,-20.3541,17.143,1.36378254346,2.28031561021,13.24,148.44,-2.226131435,-0.393981587,-0.039514576,0.000750714,-0.01071909,-0.00368481,2460010.0
6,,2011 HP110,205.32231666666664,-4.517525833333333,MB>Middle,22.4,0.256,410.004,-15.8062,20.528,1.74826690643,2.65633111301,11.31,148.5,-2.600663574,-0.570560012,-0.079614263,0.003974678,-0.009262256,-0.001975871,2460010.0
7,463451,2013 OB5,205.2536375,-4.754937777777778,MB>Inner,21.6,0.06,481.22,-16.3736,10.236,1.26167252721,2.18144914971,13.83,148.52,-2.154901763,-0.350297199,-0.022449211,0.003020324,-0.010551387,-0.004723543,2460010.0
8,,2016 TO141,205.17793874999995,-4.528604166666667,MB>Middle,22.5,0.202,562.323,-21.379,7.119,2.06670529507,2.97007870547,10.06,148.64,-2.872958328,-0.712024403,-0.08262729,0.002084806,-0.008070309,-0.00454523,2460010.0
9,,2014 QM469,205.20756249999997,-4.491321388888889,MB>Outer,22.5,0.322,592.19,-15.7553,17.141,2.32995474915,3.22944079119,9.25,148.62,-3.123568643,-0.822761575,-0.128476704,0.003655153,-0.008301594,-0.001505768,2460010.0
10,,2017 CO46,205.5049433333333,-4.595604166666666,MB>Outer,22.6,1.687,751.718,-27.3572,-0.116,2.08301914118,2.98402031776,10.11,148.31,-2.852902877,-0.730308365,-0.069065948,-0.001293063,-0.007987108,-0.006521362,2460010.0
11,116842,2004 FN42,205.5117270833333,-4.587383611111111,MB>Middle,20.5,0.048,780.875,-16.7338,13.261,1.94131501039,2.84461205161,10.61,148.3,-2.765690599,-0.66138481,-0.08658061,0.00331021,-0.008939012,-0.003187926,2460010.0
12,,2019 JE74,205.5141045833333,-4.656566666666667,MB>Middle,22.8,0.047,781.384,-20.8566,7.339,2.17879231078,3.0782004365,9.8,148.28,-2.975425936,-0.776131185,-0.098503545,0.00291408,-0.007472445,-0.004296818,2460010.0
13,588950,2008 YS24,205.40754166666665,-4.433468888888889,MB>Middle,22.4,0.098,805.508,-20.0426,14.044,2.33472716097,3.23294483358,9.29,148.43,-3.124201722,-0.843677656,-0.119497392,0.003613982,-0.00699016,-0.002306705,2460010.0
14,156606,2002 GV85,205.4479345833333,-4.808980833333333,MB>Outer,20.2,0.024,842.314,-15.3167,15.495,2.17666311081,3.07631081655,9.8,148.32,-2.976347009,-0.760069893,-0.122102394,0.003164301,-0.008922607,-0.002238241,2460010.0
15,78959,2003 SL232,205.14453166666664,-4.451763888888889,MB>Outer,19.6,0.006,842.718,-19.3508,7.297,2.38030324375,3.27959906067,9.09,148.69,-3.148477055,-0.842039839,-0.106181516,0.001171436,-0.008277633,-0.004319723,2460010.0
16,,2006 SJ423,205.53015666666664,-4.6916238888888895,MB>Inner,22.8,0.051,862.698,-23.6974,7.667,1.91713067074,2.82059959966,10.72,148.26,-2.738029545,-0.663485692,-0.077011697,0.002691375,-0.007561474,-0.004458597,2460010.0
17,451973,2014 NF29,205.51858041666662,-4.517886388888889,MB>Outer,22.6,0.057,886.226,-17.9021,11.143,2.5120160579,3.40716318841,8.84,148.31,-3.270728089,-0.916720151,-0.131113968,0.00239156,-0.007796051,-0.002967899,2460010.0
18,,2019 NH23,205.4684395833333,-4.448466111111111,MB>Outer,23.0,0.199,891.744,-16.5355,13.661,3.02250143128,3.91277534991,7.67,148.37,-3.739231608,-1.142983291,-0.182004432,0.003318551,-0.006730117,-0.001327995,2460010.0
19,,2003 UX338,205.56207666666663,-4.572153611111111,MB>Middle,22.0,0.101,968.901,-29.7612,-4.614,1.80487684662,2.71036185349,11.16,148.25,-2.618573145,-0.61694766,-0.039139745,0.000578052,-0.007489761,-0.007309431,2460010.0
20,,2020 OM128,205.55474083333328,-4.716122222222222,MB>Inner,22.2,0.112,972.9,-13.8164,11.942,1.26468828207,2.18286588506,13.93,148.23,-2.161665599,-0.357627523,-0.024553083,0.003802002,-0.010547977,-0.004414086,2460010.0
21,,2014 UQ51,205.04194874999996,-4.744777222222222,MB>Outer,21.6,0.101,1009.493,-19.6278,4.596,2.43056941987,3.32949002344,8.94,148.72,-3.210455731,-0.868039047,-0.117925834,0.002969482,-0.007240742,-0.004840405,2460010.0
22,454033,2012 FH26,205.26204916666663,-4.9072772222222225,MB>Outer,21.4,0.06,1010.727,-15.948,19.849,2.22237320158,3.12239784971,9.61,148.48,-3.003769915,-0.767342885,-0.138955342,0.001280659,-0.009570627,-0.001183683,2460010.0
