,Number,Name,RA,DEC,Type,V,posunc,centerdist,RA_rate,DEC_rate,geodist,heliodist,alpha,elong,x,y,z,vx,vy,vz,epoch
0,,172P,63.604912083333325,29.592765,Comet,22.3,0.29,3.98,15.4698,0.462,5.0666645942,5.01151947968,11.28,81.13,1.032615302,4.165284913,2.592159498,-0.006824748,0.000369967,0.001059528,2459640.0
1,,2004 RV126,63.480762083333325,29.59830611111111,MB>Middle,22.7,0.134,385.202,41.8346,-0.642,2.58109683845,2.61945159272,22.0,81.03,0.095742863,2.224704112,1.3715943,-0.010473978,0.000866481,-0.000140785,2459640.0
2,,2016 QH130,63.43356791666666,29.71230111111111,MB>Middle,22.8,0.107,684.558,43.1396,4.365,2.56977780884,2.60868359951,22.09,81.01,0.093300067,2.211770604,1.360888302,-0.010741493,0.001061673,0.001640313,2459640.0
3,,2015 HC89,63.75583375,29.447245833333334,MB>Middle,24.1,1.823,708.071,29.1694,3.237,3.12756484712,3.13578016824,18.24,81.23,0.288279486,2.662837941,1.625304487,-0.008664611,0.000180256,0.001522109,2459640.0
4,466506,2014 DE89,63.73480958333332,29.416316944444443,MB>Middle,21.9,0.089,756.263,35.1775,2.939,2.81739712413,2.84274085555,20.2,81.21,0.177268057,2.424422114,1.476480974,-0.010020832,-0.000469293,0.000601644,2459640.0
5,,2007 SK19,63.65612124999999,29.803969444444444,MB>Middle,22.5,0.369,778.192,47.2994,7.555,2.37450070841,2.43262194403,23.81,81.22,0.014036151,2.068490099,1.266769868,-0.011599038,-0.000140723,0.001766006,2459640.0
6,,2020 OQ48,63.47480125,29.780379999999997,MB>Outer,22.8,0.202,786.794,34.2287,2.151,3.04721460549,3.05667542929,18.72,81.06,0.271608214,2.581924781,1.602749937,-0.00987877,0.001029469,0.00123697,2459640.0
7,589918,2010 VN239,63.35491125,29.559863888888888,MB>Outer,21.7,0.203,787.674,33.1089,14.987,2.80839709101,2.82925340233,20.28,80.91,0.183200423,2.409340131,1.454187544,-0.009355816,-0.000890936,0.005073293,2459640.0
8,,2019 LM18,63.85672166666666,29.624115,MB>Outer,23.4,0.195,800.161,30.0413,1.638,3.27478890435,3.27790106175,17.43,81.35,0.340472819,2.769723467,1.707138209,-0.009076405,0.001263983,0.001396055,2459640.0
9,122955,2000 SU203,63.863429583333335,29.573317777777778,MB>Middle,20.8,0.02,816.289,42.4175,3.496,2.49409980783,2.54454958325,22.7,81.35,0.051054998,2.169739591,1.323423107,-0.010816151,-0.000210566,0.00065512,2459640.0
10,359583,2010 UQ41,63.781417499999996,29.77183111111111,MB>Outer,21.8,0.015,851.565,32.0999,2.605,3.11795756715,3.1281563917,18.29,81.32,0.283845425,2.644002682,1.635847106,-0.009448983,0.000933036,0.00153974,2459640.0
11,481310,2005 YE273,63.61501499999999,29.842075555555553,MB>Outer,21.2,0.119,898.582,48.6217,-12.757,2.52535148561,2.57069339855,22.45,81.19,0.067021449,2.157453823,1.363925774,-0.010454824,0.004856126,-0.002099108,2459640.0
12,,2019 GS86,63.78875666666666,29.380465555555556,MB>Middle,23.4,0.129,959.211,35.1523,3.374,2.78447211589,2.8125647056,20.43,81.24,0.162207265,2.400657025,1.457923289,-0.009890705,-0.000500332,0.000764477,2459640.0
