,Number,Name,RA,DEC,Type,V,posunc,centerdist,RA_rate,DEC_rate,geodist,heliodist,alpha,elong,x,y,z,vx,vy,vz,epoch
0,,172P,63.26218291666666,29.586028888888887,Comet,22.3,0.29,10.099,14.245,0.209,5.02105545663,5.01319036019,11.34,83.82,1.032615302,4.165284913,2.592159498,-0.006824748,0.000369967,0.001059528,2459640.0
1,515377,2013 EW81,63.2424725,29.6063675,MB>Outer,22.7,0.212,89.826,41.7623,1.125,2.41156217048,2.50938711807,23.16,83.81,0.023133874,2.141733245,1.308662636,-0.011451711,-0.00119079,-0.000679635,2459640.0
2,,2019 LM18,63.180459583333324,29.5937025,MB>Outer,23.4,0.195,247.322,28.5825,1.391,3.22935127752,3.27530117862,17.53,83.75,0.340472819,2.769723467,1.707138209,-0.009076405,0.001263983,0.001396055,2459640.0
3,428780,2008 SA232,63.30381874999999,29.6679725,MB>Middle,22.8,0.06,326.972,31.2082,-1.771,2.922102162,2.98605860849,19.29,83.87,0.214147473,2.532450072,1.561830351,-0.009045697,0.001113503,6.9862e-05,2459640.0
4,235831,2004 XR160,63.36558416666666,29.563973611111113,MB>Middle,21.1,0.009,343.084,36.3361,-5.835,2.67132459347,2.75142437445,21.02,83.9,0.117410959,2.341951346,1.437876933,-0.01002425,0.000732834,-0.001786914,2459640.0
5,,2017 BM215,63.37304666666667,29.590970555555554,MB>Outer,23.4,7.919,357.616,30.1788,-5.011,2.98445984279,3.04567154683,18.9,83.92,0.238235445,2.587959767,1.594745383,-0.009749709,-0.000551764,-0.002278819,2459640.0
6,595978,2004 RA364,63.14383249999999,29.631541944444447,MB>Outer,22.3,0.059,395.962,31.6175,-1.356,3.0824149494,3.13521722073,18.34,83.73,0.284885643,2.652863142,1.638721734,-0.009491197,0.001760186,0.000388584,2459640.0
7,,2014 PR93,63.33159791666667,29.481559722222222,MB>Outer,23.2,0.153,439.298,34.4262,-4.798,2.96552262024,3.02681409439,19.02,83.86,0.234102246,2.568235523,1.577025931,-0.009887826,0.002273698,-0.000819156,2459640.0
8,,2021 VT13,63.427847083333326,29.586991944444442,MB>Inner,23.3,23.399,528.738,64.4646,11.63,1.75764248518,1.92901153897,30.81,83.96,-0.232330203,1.637997117,0.981360457,-0.013471146,-0.001767428,0.000915318,2459640.0
9,328188,2008 DY70,63.21807624999999,29.40594388888889,MB>Inner,22.2,0.175,660.545,38.7362,6.695,2.38906285204,2.48774340328,23.37,83.75,0.014730938,2.128101075,1.285910128,-0.01050259,-0.001426366,0.001168667,2459640.0
10,,2021 RG21,63.210686249999995,29.39466611111111,MB>Middle,22.7,9.677,705.023,53.4885,13.808,2.0799854475,2.20776934906,26.56,83.74,-0.102719662,1.883391282,1.128466997,-0.012011748,0.000454669,0.003431604,2459640.0
11,529977,2010 UA109,63.48613916666667,29.627111111111113,MB>Outer,22.8,0.218,726.354,26.5956,2.567,3.27912145489,3.32733012714,17.25,84.02,0.345196025,2.815520826,1.732449658,-0.008743652,0.000756925,0.001790229,2459640.0
12,359583,2010 UQ41,63.057025833333334,29.721714444444444,MB>Outer,21.8,0.015,798.755,30.6105,2.389,3.07358874905,3.12589139968,18.39,83.67,0.283845425,2.644002682,1.635847106,-0.009448983,0.000933036,0.00153974,2459640.0
13,,2014 OF466,63.45658208333333,29.73404361111111,MB>Outer,23.0,0.123,816.377,30.2053,-1.242,3.16451078685,3.21807431321,17.86,84.01,0.302162644,2.720960197,1.684022248,-0.009368639,0.001675904,0.000475872,2459640.0
14,,2016 RM78,63.4138975,29.393385833333333,MB>Middle,23.1,0.057,846.332,38.4348,-1.416,2.6243175413,2.70778590192,21.38,83.91,0.100095265,2.309334619,1.404300594,-0.010452914,0.000890558,-0.000268556,2459640.0
15,,2010 TH121,63.11095375,29.78733527777778,MB>Outer,23.0,0.255,860.176,30.0449,1.551,3.05409113683,3.10841799669,18.5,83.73,0.273233136,2.629975215,1.63075713,-0.009478715,0.000303262,0.000886686,2459640.0
16,,2015 HC89,63.102411249999996,29.384640833333332,MB>Middle,24.1,1.823,875.131,27.581,3.003,3.08407639877,3.13535696421,18.33,83.64,0.288279486,2.662837941,1.625304487,-0.008664611,0.000180256,0.001522109,2459640.0
17,142076,2002 QQ42,63.52784458333332,29.47017722222222,MB>Inner,21.6,0.066,939.738,36.8611,-0.19,2.60024867996,2.68730296885,21.55,84.02,0.084162209,2.290499013,1.393699462,-0.009709657,0.001129259,0.000504401,2459640.0
18,43809,1991 RE14,63.35515874999999,29.833592499999998,MB>Inner,19.4,0.022,940.915,40.0033,-0.979,2.51400486229,2.60610869277,22.26,83.95,0.053876037,2.212211886,1.365205697,-0.010055909,0.001586604,0.000473157,2459640.0
19,,2015 VS54,63.25424708333333,29.313520555555556,MB>Outer,22.7,0.102,980.845,33.2231,5.402,2.93717182984,2.99836973291,19.21,83.76,0.22762827,2.550484585,1.54717909,-0.009724493,0.001392861,0.002738488,2459640.0
20,,2014 QU210,63.14404374999999,29.839545555555553,MB>Outer,22.4,0.043,981.129,30.8186,-1.636,3.09500156939,3.14786156151,18.26,83.77,0.287905215,2.66010985,1.656245385,-0.009747536,0.000719076,-0.000266504,2459640.0
21,593769,2015 VB110,63.52863125,29.72795722222222,MB>Outer,22.0,0.091,986.473,32.6429,2.786,2.9710821709,3.03574041284,18.97,84.08,0.225652612,2.574081768,1.58520457,-0.009950285,0.000919278,0.001583781,2459640.0
