,Number,Name,RA,DEC,Type,V,posunc,centerdist,RA_rate,DEC_rate,geodist,heliodist,alpha,elong,x,y,z,vx,vy,vz,epoch
0,88992,2001 TJ72,219.50737666666663,-13.407065277777779,MB>Inner,20.9,0.162,1.625,1.7617,2.328,1.79263519504,2.52424050086,18.38,126.91,-2.360917224,-0.861798569,-0.309641136,0.00552059,-0.008182975,-0.003372247,2459640.0
1,,2005 ST31,219.52531166666662,-13.435014444444445,MB>Inner,23.8,0.281,117.099,-4.7583,1.393,2.12206835228,2.83828777023,16.28,126.88,-2.600434873,-1.075334236,-0.386038717,0.004627062,-0.006959528,-0.003500181,2459640.0
2,148270,2000 GM6,219.46259624999996,-13.356390277777777,MB>Inner,20.6,0.076,242.161,5.5568,4.768,1.3813500801,2.1387512291,21.85,126.96,-2.028567417,-0.581458086,-0.206988365,0.002238483,-0.011478796,-0.004170898,2459640.0
3,216644,2003 QY17,219.43685666666664,-13.402246944444444,MB>Inner,21.4,0.176,248.937,6.4594,-0.852,1.47504816612,2.22600659895,20.94,126.97,-2.125162087,-0.657845889,-0.230303778,0.00565826,-0.008981249,-0.004101908,2459640.0
4,249990,2001 XV48,219.58117374999998,-13.401504166666667,MB>Middle,21.4,0.128,257.979,-3.701,1.664,2.20444032184,2.9169450621,15.84,126.84,-2.649231503,-1.116139197,-0.400508836,0.003079258,-0.008523836,-0.003945725,2459640.0
5,,2016 ER238,219.5095345833333,-13.309280000000001,MB>Outer,22.2,0.607,353.047,-3.2846,-5.438,2.22068629033,2.9335522208,15.73,126.93,-2.674244646,-1.132163048,-0.389293987,0.004449628,-0.007542137,-0.00544736,2459640.0
6,,2014 OP466,219.40366458333332,-13.488469444444444,MB>Middle,23.2,0.31,467.043,-1.9503,5.249,2.22635329188,2.93951181859,15.69,126.98,-2.67769966,-1.126216937,-0.418217912,0.00417619,-0.008239114,-0.002725477,2459640.0
7,,2016 CM286,219.6151895833333,-13.4954925,MB>Outer,22.0,0.121,492.171,-3.5374,-4.281,2.26675986489,2.97628716185,15.53,126.78,-2.704884737,-1.16373501,-0.409680495,0.004447638,-0.007410934,-0.005106223,2459640.0
8,394534,2007 TT438,219.50800624999997,-13.27007388888889,MB>Middle,22.0,0.054,494.136,5.4501,3.379,1.72145386068,2.45722226258,18.89,126.94,-2.311050546,-0.813559073,-0.290204899,0.005880743,-0.008811847,-0.003232268,2459640.0
9,182110,2000 QE19,219.44530833333332,-13.28105,MB>Middle,21.9,0.104,504.499,-4.1965,3.683,2.53316261165,3.23601131892,14.21,127.0,-2.917671162,-1.332950257,-0.482181246,0.005367811,-0.006324877,-0.00255068,2459640.0
10,,2023 PK2,219.6011095833333,-13.298454444444443,MB>Middle,24.0,0.0,510.462,-3.6009,5.289,2.50535208123,3.20743013226,14.37,126.85,-2.886103361,-1.314033309,-0.477998633,0.004541022,-0.007203967,-0.002359524,2459640.0
11,,2019 SG54,219.43847041666666,-13.276949444444446,MB>Middle,25.2,1.137,528.405,-4.0037,7.306,2.39445911703,3.10189239822,14.84,127.01,-2.810767888,-1.243445231,-0.456564172,0.00498387,-0.006790524,-0.001713761,2459640.0
12,,2007 VQ36,219.38203416666664,-13.322624166666666,MB>Middle,22.9,96.965,535.611,-8.3594,-5.473,2.12347992696,2.84137198631,16.23,127.05,-2.589999559,-1.068612834,-0.365294953,0.00259897,-0.007510768,-0.005722418,2459640.0
13,380513,2004 FL47,219.44152958333333,-13.270505555555557,MB>Inner,21.1,0.124,544.466,-1.0703,-4.618,1.589707951,2.33366407853,19.92,127.01,-2.191984393,-0.725842602,-0.243368829,0.003080048,-0.009435597,-0.005400521,2459640.0
14,451938,2014 MF,219.42939791666663,-13.552396388888889,MB>Middle,21.3,0.143,589.883,7.3508,10.492,1.71783241086,2.45373285932,18.92,126.94,-2.306748588,-0.803142368,-0.308208066,0.005681014,-0.009484785,-0.001849419,2459640.0
15,85082,2158 T-2,219.67418666666666,-13.364246944444444,MB>Inner,20.6,0.173,603.182,7.9276,2.555,1.52059873693,2.26658690213,20.61,126.76,-2.153433352,-0.686537257,-0.243445849,0.005375417,-0.009546122,-0.003636573,2459640.0
16,133886,2004 PV101,219.35353541666666,-13.49034361111111,MB>Outer,20.7,0.029,617.131,-6.3086,11.284,2.60808375535,3.30894305293,13.88,127.03,-2.94297806,-1.355086124,-0.518550056,0.001206425,-0.008891623,-0.001259114,2459640.0
17,630910,2006 ST202,219.5851695833333,-13.24378,MB>Middle,22.7,0.114,648.253,-3.1361,6.079,2.33690603336,3.04495569593,15.15,126.88,-2.757917678,-1.205210509,-0.436759609,0.004179061,-0.007750856,-0.002402492,2459640.0
18,207185,2005 EH16,219.37914958333332,-13.260977777777779,MB>Middle,22.0,0.039,693.209,-3.8849,2.995,2.13390769337,2.85158954013,16.17,127.07,-2.604073764,-1.069117871,-0.381985457,0.003352111,-0.008318269,-0.003564881,2459640.0
19,,2022 GM18,219.5614795833333,-13.218898888888889,MB>Hilda,22.0,0.065,703.996,-1.6904,2.329,2.88543237982,3.57736181159,12.84,126.91,-3.177361433,-1.547547851,-0.555980874,0.005126441,-0.007376065,-0.003082197,2459640.0
20,484636,2008 SW230,219.71225666666663,-13.389531666666667,MB>Inner,21.8,0.097,719.051,1.3134,13.66,1.86007440138,2.58640087619,17.97,126.72,-2.392142203,-0.89706551,-0.339564485,0.003521594,-0.009688726,-0.001434981,2459640.0
21,543090,2013 SG35,219.56846499999995,-13.600374166666667,MB>Outer,23.5,0.019,726.723,-6.5861,4.251,3.19134169534,3.87477731667,11.86,126.79,-3.387973222,-1.74066285,-0.651713539,0.003187296,-0.006551374,-0.002413755,2459640.0
22,,2016 AX234,219.6506270833333,-13.257265,MB>Outer,22.7,0.012,736.454,-3.5274,4.04,2.49316002904,3.19524811604,14.43,126.81,-2.86898239,-1.302422807,-0.468318538,0.003630708,-0.007978409,-0.003029863,2459640.0
23,435500,2008 GK100,219.46858916666665,-13.204955833333333,MB>Inner,22.3,0.016,741.367,10.8129,0.559,1.38262432739,2.14026804919,21.82,127.0,-2.05248132,-0.592929549,-0.203792245,0.00516612,-0.010167294,-0.004161276,2459640.0
24,247941,2003 XN42,219.29216916666664,-13.369723055555555,MB>Outer,21.1,0.009,767.047,-9.9209,-5.398,2.63866050032,3.33963034519,13.74,127.12,-2.977254282,-1.390720154,-0.484442989,0.002325061,-0.006527863,-0.005940187,2459640.0
25,327761,2006 UL38,219.71966916666662,-13.476093055555555,MB>Inner,22.0,0.22,782.215,-2.0054,-3.097,1.80009293795,2.52914427489,18.4,126.69,-2.358298318,-0.876304527,-0.304782692,0.005039281,-0.007502776,-0.004507629,2459640.0
26,252064,2000 SX127,219.30064666666667,-13.501001111111112,MB>Inner,22.0,0.139,799.686,-5.3686,-0.082,1.88141566575,2.61024951102,17.71,127.07,-2.414385141,-0.912223822,-0.326451889,0.003337297,-0.008045568,-0.004256436,2459640.0
27,2354,Lavrov,219.57170374999995,-13.193583611111112,MB>Middle,17.2,0.03,801.46,-2.6015,4.376,2.29191200891,3.00185867311,15.37,126.91,-2.725306837,-1.175971885,-0.420495889,0.004234827,-0.007910682,-0.002925195,2459640.0
