,Number,Name,RA,DEC,Type,V,posunc,centerdist,RA_rate,DEC_rate,geodist,heliodist,alpha,elong,x,y,z,vx,vy,vz,epoch
0,388188,2006 DP14,135.35863041666667,3.332267222222222,NEA>Apollo,18.3,0.109,124.196,-41.7374,33.056,0.46956225299,1.41691305241,23.02,146.32,-1.199844839,0.536305766,0.138253071,-0.014498931,-0.002373875,-0.003890781,2459640.0
1,,2020 SD89,135.35018625,3.2895177777777778,MB>Outer,21.4,0.107,143.44,-13.9703,15.783,1.81985365764,2.71133752035,11.76,146.31,-2.207672695,1.522615731,0.207533538,-0.007605349,-0.007685002,-0.002900716,2459640.0
2,,2020 OH7,135.36112291666666,3.350720277777778,Mars-Crosser,23.3,0.763,170.562,-22.009,28.657,2.21783223826,3.10205812346,10.25,146.33,-2.506436589,1.788195809,0.202180882,-0.005466534,-0.005948414,0.001147662,2459640.0
3,97176,1999 VV210,135.5310920833333,3.29791,MB>Outer,19.2,0.026,527.932,-19.0975,10.215,2.06813209226,2.9560169662,10.72,146.49,-2.406064143,1.692199193,0.2294733,-0.005264953,-0.007705514,-0.003883396,2459640.0
4,,2020 UC18,135.30608791666666,3.1536244444444446,MB>Outer,22.0,0.155,628.49,-17.2731,12.448,2.12592652531,3.01121891122,10.58,146.26,-2.436381099,1.736742228,0.222595258,-0.005953849,-0.00743915,-0.003239961,2459640.0
5,451368,2010 XA79,135.36922166666665,3.1218655555555554,MB>Outer,21.2,0.048,678.063,-17.8121,12.357,2.11679653878,3.00266179053,10.6,146.32,-2.430171558,1.726198663,0.221071656,-0.00614189,-0.007104435,-0.003259839,2459640.0
6,630684,2006 HQ157,135.31652583333334,3.568541944444444,MB>Outer,20.8,0.007,963.88,-14.644,17.602,1.86802886502,2.75839731438,11.56,146.29,-2.25038694,1.563907237,0.216158452,-0.006319865,-0.00862907,-0.002473937,2459640.0
7,514239,2015 OL88,135.12720166666665,3.2268875,MB>Middle,21.5,0.048,972.082,-21.1498,9.827,2.01054183666,2.89672487657,11.06,146.09,-2.355196558,1.657891279,0.224755198,-0.005267908,-0.007145787,-0.00402649,2459640.0
8,481590,2007 TJ169,135.56650041666666,3.514201388888889,MB>Middle,21.2,0.153,984.691,-17.2998,15.817,1.80503620698,2.69831515204,11.74,146.54,-2.202416216,1.501051465,0.213438206,-0.007501632,-0.006885659,-0.002858901,2459640.0
