,Number,Name,RA,DEC,Type,V,posunc,centerdist,RA_rate,DEC_rate,geodist,heliodist,alpha,elong,x,y,z,vx,vy,vz,epoch
0,388188,2006 DP14,136.0347333333333,2.824912222222222,NEA>Apollo,18.3,0.109,75.264,-52.9986,38.05,0.43586108433,1.39295561588,21.74,148.89,-1.199844839,0.536305766,0.138253071,-0.014498931,-0.002373875,-0.003890781,2459640.0
1,,2022 BH44,136.04344541666663,2.8519405555555557,Hungaria,21.6,0.052,112.557,-38.7943,-10.441,1.0060971259,1.93413696916,15.44,148.91,-1.653194814,0.958658671,0.186377096,-0.006268463,-0.007460308,-0.007535965,2459640.0
2,,2000 FM54,136.03516,2.699420277777778,MB>Middle,21.7,0.169,494.737,-21.6955,19.917,1.79532485389,2.7027641394,10.97,148.88,-2.230894157,1.515791074,0.192541736,-0.004272502,-0.009300559,-0.002304773,2459640.0
3,488828,2005 OU26,135.92528000000001,2.6908836111111114,Hungaria,20.3,0.035,616.152,-36.0657,-5.854,0.99178049372,1.91971637972,15.62,148.77,-1.641204787,0.952696503,0.180085891,-0.006340438,-0.007902915,-0.007018714,2459640.0
4,226496,2003 SU291,136.12815583333332,2.6311758333333333,MB>Outer,20.0,0.01,837.937,-20.1915,9.662,2.23827515348,3.13922044188,9.41,148.97,-2.543265344,1.806583451,0.218916853,-0.005863519,-0.006752952,-0.003823829,2459640.0
5,607521,2001 KO85,136.221105,2.668966944444444,MB>Outer,21.6,0.191,948.625,-19.2425,12.499,2.37063780645,3.27048482136,9.0,149.06,-2.642543536,1.896389319,0.221579715,-0.005608234,-0.006941,-0.002902437,2459640.0
6,426381,2013 PG16,136.28302958333333,2.8710094444444443,MB>Inner,21.7,0.08,965.869,-26.8303,16.067,1.78810642724,2.69725654035,10.91,149.15,-2.230180108,1.496662904,0.201591307,-0.004400898,-0.007749738,-0.003053104,2459640.0
7,,2008 TG9,136.1383033333333,3.085101388888889,MB>Outer,21.1,0.047,998.845,-19.9433,11.816,2.37822075938,3.27772074711,8.99,149.02,-2.648012814,1.904741832,0.240039879,-0.005051168,-0.007170302,-0.003060811,2459640.0
