,Number,Name,RA,DEC,Type,V,posunc,centerdist,RA_rate,DEC_rate,geodist,heliodist,alpha,elong,x,y,z,vx,vy,vz,epoch
0,8703,Nakanotadao,204.93455541666665,-4.296237777777778,MB>Inner,17.8,0.009,5.553,-19.8489,17.176,1.30673311576,2.24280569474,12.14,151.83,-2.179530734,-0.48348605,-0.070808,0.002343322,-0.010841526,-0.00384111,2460020.0
1,,2015 PA96,204.90201791666664,-4.317584999999999,MB>Middle,22.2,0.038,134.312,-20.5116,13.254,2.09664040833,3.01970402311,8.97,151.86,-2.894619832,-0.818438523,-0.132004555,0.002590385,-0.008554757,-0.003128483,2460020.0
2,404361,2013 GP20,204.89763,-4.3840047222222225,MB>Inner,21.4,0.062,338.477,-23.3862,18.084,1.34855566034,2.28380149547,11.91,151.85,-2.215793915,-0.500625738,-0.076296838,0.001314876,-0.010605522,-0.003670123,2460020.0
3,327584,2006 DX139,204.9214908333333,-4.161449722222223,MB>Outer,20.8,0.049,489.48,-20.1993,8.361,2.11671869125,3.03959033415,8.9,151.87,-2.912070194,-0.827280376,-0.125641547,0.002129413,-0.008798653,-0.004361957,2460020.0
4,588950,2008 YS24,204.98761083333332,-4.147833611111111,MB>Middle,22.2,0.095,571.187,-22.1086,14.707,2.30765431573,3.22797341634,8.4,151.81,-3.086699684,-0.91319981,-0.142508819,0.00388656,-0.00691306,-0.002295214,2460020.0
5,,2014 QM469,204.87427291666665,-4.143668333333334,MB>Outer,22.3,0.335,590.827,-17.6955,17.854,2.30427969814,3.2252950945,8.37,151.92,-3.085649058,-0.905403624,-0.143475732,0.003928788,-0.008225439,-0.001493791,2460020.0
6,78959,2003 SL232,204.74045041666662,-4.302345,MB>Outer,19.5,0.007,692.104,-21.1993,7.739,2.36195768467,3.28296844788,8.2,152.02,-3.135425988,-0.924446593,-0.149327553,0.001438126,-0.008202682,-0.004308892,2460020.0
7,179788,2002 TM8,205.00661833333328,-4.115107777777777,MB>Inner,21.0,0.063,705.645,-22.0528,12.805,1.5881453141,2.51838951826,10.8,151.79,-2.436686601,-0.607281342,-0.086749368,0.00421178,-0.008803173,-0.003921667,2460020.0
8,,2011 HP110,204.98187749999997,-4.099278611111111,MB>Middle,22.2,0.261,732.679,-18.3636,21.572,1.72262820901,2.65073898559,10.24,151.82,-2.558877716,-0.662708589,-0.099305073,0.004382816,-0.009164688,-0.001961722,2460020.0
9,133225,2003 QS88,204.79812541666666,-4.139588333333334,MB>Outer,19.5,0.017,745.557,-23.6028,2.611,2.42415381755,3.34437598614,8.05,151.99,-3.19298518,-0.955239748,-0.144894554,0.002480911,-0.006799324,-0.005607905,2460020.0
10,454033,2012 FH26,204.92496041666666,-4.506069166666666,MB>Outer,21.2,0.058,753.528,-17.861,20.536,2.20443092714,3.12587493896,8.67,151.8,-2.989484505,-0.862655217,-0.150721768,0.00157563,-0.009490426,-0.001169436,2460020.0
11,451973,2014 NF29,205.14370833333328,-4.291351944444444,MB>Outer,22.4,0.059,756.092,-19.7175,11.658,2.48941991905,3.40679387228,8.0,151.63,-3.24558358,-0.994325654,-0.160739905,0.002637062,-0.007724063,-0.002956913,2460020.0
12,234292,Wolfganghansch,205.07486541666663,-4.1411375,MB>Middle,21.0,0.055,757.177,-23.5459,11.003,2.00979798901,2.93318448246,9.27,151.72,-2.812373386,-0.787906657,-0.118024954,0.001681169,-0.008403053,-0.003864899,2460020.0
13,,2013 UM58,204.77851999999996,-4.140899444444445,MB>Inner,22.5,0.0,789.772,-29.2391,2.246,1.82180070968,2.74942379822,9.81,152.01,-2.647591637,-0.701670278,-0.100937678,0.002309833,-0.007381394,-0.005896799,2460020.0
14,,2016 TO141,204.7297383333333,-4.381854166666666,MB>Middle,22.3,0.215,791.681,-23.5958,7.648,2.04550270227,2.97009574234,9.07,152.02,-2.850477583,-0.792306623,-0.128023948,0.0024109,-0.007984614,-0.004533239,2460020.0
15,116842,2004 FN42,205.15507291666663,-4.316621666666666,MB>Middle,20.3,0.047,799.763,-19.055,13.991,1.91742031675,2.84144597579,9.61,151.61,-2.730812542,-0.750329361,-0.118397237,0.003665306,-0.008847813,-0.003174689,2460020.0
16,,2019 NH23,205.12361333333328,-4.172071111111111,MB>Outer,22.8,0.209,818.231,-18.0753,14.162,2.99590748054,3.90921306856,6.95,151.67,-3.705124016,-1.209996266,-0.195238324,0.003502961,-0.006671837,-0.001318659,2460020.0
17,463451,2013 OB5,204.89393166666665,-4.542033055555556,MB>Inner,21.3,0.058,893.591,-19.7121,11.19,1.24023763745,2.17782096201,12.51,151.83,-2.121633042,-0.455260083,-0.069630039,0.003633557,-0.010435847,-0.00471033,2460020.0
18,,2019 JE74,205.0766383333333,-4.505388333333333,MB>Middle,22.6,0.049,910.196,-23.0359,7.875,2.15450874505,3.07567750794,8.86,151.65,-2.944774804,-0.850447747,-0.141414311,0.003216027,-0.007389493,-0.004284588,2460020.0
19,,2006 SJ423,205.0326620833333,-4.533159722222222,MB>Inner,22.5,0.054,922.418,-26.2162,8.28,1.89342069591,2.81823223187,9.67,151.69,-2.709307882,-0.738644251,-0.121536843,0.003052804,-0.00746845,-0.004445429,2460020.0
20,301518,2009 FC18,204.73242916666663,-4.135688333333333,MB>Middle,20.8,0.045,925.369,-20.5281,13.699,1.91880756279,2.84530503879,9.46,152.06,-2.735747444,-0.737600782,-0.112107469,0.002111703,-0.009257716,-0.003378654,2460020.0
21,156606,2002 GV85,205.12220749999997,-4.494053055555556,MB>Outer,20.0,0.024,981.886,-17.3587,16.204,2.15304458501,3.0739838383,8.88,151.61,-2.943190445,-0.848892943,-0.144418728,0.003466827,-0.008840386,-0.002224628,2460020.0
22,231654,2009 WD163,204.96503625,-4.568108888888888,MB>Outer,21.1,0.057,982.978,-20.2629,7.967,2.33619642737,3.25587799962,8.34,151.75,-3.111992892,-0.923157846,-0.158691745,0.004052098,-0.007312256,-0.004021939,2460020.0
23,8530,Korbokkur,204.81896666666665,-4.545999166666666,MB>Inner,17.6,0.017,985.948,-23.4393,8.777,1.46206826078,2.39520377887,11.33,151.9,-2.325516154,-0.549931653,-0.087383811,0.005095958,-0.008516529,-0.004663824,2460020.0
24,83123,2001 QL250,205.1846320833333,-4.422774444444444,MB>Middle,20.3,0.038,1009.996,-23.1834,6.736,2.36364199177,3.28191239083,8.32,151.56,-3.13120474,-0.943766105,-0.154196045,0.002779892,-0.006916212,-0.00443202,2460020.0
25,595840,2004 DA85,204.82461541666666,-4.037865555555555,MB>Middle,21.6,0.057,1010.76,-24.2331,7.391,2.58466922164,3.50331996649,7.68,151.99,-3.337723487,-1.024631409,-0.154452754,0.002255604,-0.006206305,-0.00412754,2460020.0
