,Number,Name,RA,DEC,Type,V,posunc,centerdist,RA_rate,DEC_rate,geodist,heliodist,alpha,elong,x,y,z,vx,vy,vz,epoch
0,,15P,112.04968874999999,29.989719444444447,Comet,17.7,0.48,57.591,1.7949,-9.066,2.26398017148,2.89570639182,17.37,119.74,-1.618175976,1.978018428,1.196542639,-0.011031131,0.001478196,0.001212656,2459640.0
1,,2012 QQ66,112.03337249999998,29.95054861111111,MB>Middle,23.1,5.555,180.648,-1.8885,-13.994,2.30502647117,2.93482727483,17.13,119.74,-1.655423083,2.049169766,1.254332234,-0.008187215,-0.002909829,-0.003334592,2459640.0
2,,2015 XZ461,112.12709083333331,30.051469444444447,MB>Outer,23.3,1.449,285.746,-1.6805,-1.5,2.85832833768,3.46785744279,14.42,119.79,-1.841453065,2.496883876,1.507285465,-0.007765366,-0.003781798,-9.9785e-05,2459640.0
3,,2023 JZ14,112.21160875,29.96871472222222,MB>Middle,23.0,6.306,454.373,-1.7009,-10.097,2.19347534693,2.830196494,17.76,119.88,-1.63184011,1.977654773,1.200288775,-0.007331539,-0.005329715,-0.003454021,2459640.0
4,29717,1999 AC8,112.05725333333332,30.138771388888888,MB>Inner,18.5,0.096,534.153,11.1147,-13.471,1.35344907771,2.04527602104,25.05,119.71,-1.341822486,1.326156142,0.789398393,-0.008758653,-0.00793371,-0.004020245,2459640.0
5,64280,2001 TC235,112.24209708333332,30.020104166666666,MB>Inner,19.8,0.062,552.601,12.396,-2.875,1.50103755533,2.18166805964,23.33,119.9,-1.385382132,1.432162759,0.836580824,-0.009772105,-0.006523335,-0.001183648,2459640.0
6,,2017 HR6,112.06138583333332,30.155129166666665,MB>Outer,21.3,0.028,592.339,2.0975,-6.161,2.31001851209,2.93931489411,17.11,119.71,-1.657652349,2.076429255,1.257931176,-0.008038791,-0.006138956,-0.002625755,2459640.0
7,96186,1990 SF8,112.20391333333332,29.874253333333336,MB>Inner,19.0,0.042,595.975,14.7978,-11.967,1.46450113715,2.14821442132,23.72,119.9,-1.366931356,1.397237707,0.824980529,-0.010531205,-0.00561435,-0.002344929,2459640.0
8,,2014 BF62,112.0929075,30.160190555555555,Hungaria,20.6,0.642,615.053,10.4593,-42.754,1.13103875414,1.84663794613,27.97,119.74,-1.266766736,1.132012034,0.703590812,-0.009206166,-0.006083055,-0.006992941,2459640.0
9,,2016 UK249,111.89109041666666,29.883005277777777,MB>Middle,22.2,0.082,674.777,3.0695,-2.988,2.26942680243,2.89960182936,17.37,119.63,-1.631388127,2.031971736,1.207965484,-0.009181489,-0.003886073,-0.000243179,2459640.0
10,293147,2006 YK5,111.97054958333332,29.814253333333333,MB>Inner,21.2,0.133,704.41,2.4834,-2.582,1.86905551265,2.5214989768,20.07,119.72,-1.517016938,1.735989498,1.020998068,-0.007736415,-0.006905663,-0.001926584,2459640.0
11,,2011 FR19,112.22884958333333,29.829041666666665,MB>Outer,23.1,5.687,768.256,0.8869,-4.437,2.08455462524,2.72727540674,18.45,119.93,-1.601141517,1.915816399,1.140211959,-0.006925817,-0.008071702,-0.003302027,2459640.0
12,222420,2001 KW27,112.30098124999998,29.906638055555554,MB>Inner,21.6,0.071,786.866,-3.5346,-4.521,2.26039110183,2.895018997,17.33,119.97,-1.662139087,2.032916158,1.220066478,-0.006728115,-0.005524839,-0.002101543,2459640.0
13,156056,2001 SN56,112.19316041666666,29.79959555555556,MB>Inner,19.2,0.046,790.931,11.9328,-6.327,1.58977678768,2.2634553849,22.44,119.91,-1.414851329,1.50783442,0.883398202,-0.009718886,-0.006685694,-0.002098324,2459640.0
14,607370,2000 WM64,112.33023208333331,30.118105555555555,MB>Middle,22.2,0.172,936.713,7.6151,-3.242,1.85437767586,2.51033996948,20.11,119.95,-1.504412171,1.704543193,1.013583022,-0.009541949,-0.005576784,-0.000908864,2459640.0
15,,2003 WU202,112.10883208333333,29.73175611111111,MB>Inner,22.2,0.916,940.808,10.8587,-13.114,1.61257733586,2.28393244189,22.24,119.85,-1.416023137,1.511886016,0.896400041,-0.010275264,-0.004815432,-0.002489961,2459640.0
16,,2023 DC5,112.08935166666666,29.722785833333333,MB>Outer,22.6,0.104,966.753,-0.9363,-4.624,2.6383844129,3.25593506111,15.38,119.84,-1.772401875,2.337168542,1.398896644,-0.007630168,-0.004841115,-0.001844986,2459640.0
17,,2014 JO82,112.29389541666666,29.80387361111111,MB>Middle,22.7,0.019,974.073,0.7567,-1.627,2.18484280823,2.82324165863,17.79,119.99,-1.630742796,1.982177746,1.174290607,-0.007564461,-0.006455193,-0.001544965,2459640.0
