,Number,Name,RA,DEC,Type,V,posunc,centerdist,RA_rate,DEC_rate,geodist,heliodist,alpha,elong,x,y,z,vx,vy,vz,epoch
0,88992,2001 TJ72,219.49141375,-13.421743611111111,MB>Inner,20.9,0.025,5.041,2.7893,1.983,1.80561172102,2.5262854493,18.61,125.89,-2.360917158,-0.861798589,-0.309641227,0.005520591,-0.008182975,-0.003372247,2459640.0
1,,2005 ST31,219.55522291666662,-13.443516111111112,MB>Inner,23.8,0.081,235.569,-3.7923,1.108,2.13504075317,2.8395122632,16.5,125.83,-2.600435292,-1.075333887,-0.386038351,0.004627057,-0.00695953,-0.003500182,2459640.0
2,148270,2000 GM6,219.41930624999998,-13.387354444444444,MB>Inner,20.6,0.166,283.096,6.8006,4.323,1.3896563081,2.13729172449,22.15,125.97,-2.028567433,-0.581458102,-0.20698841,0.002238483,-0.011478796,-0.004170898,2459640.0
3,216644,2003 QY17,219.38763041666667,-13.39523,MB>Inner,21.4,0.037,376.656,7.5883,-1.205,1.48753777196,2.22841835443,21.19,126.0,-2.125162025,-0.657845833,-0.230303744,0.00565826,-0.008981249,-0.004101908,2459640.0
4,249990,2001 XV48,219.6038733333333,-13.411896944444445,MB>Middle,21.4,0.128,396.304,-2.7855,1.388,2.21511949128,2.91594001376,16.06,125.79,-2.649231503,-1.116139197,-0.400508836,0.003079258,-0.008523836,-0.003945725,2459640.0
5,182110,2000 QE19,219.47180541666665,-13.30523527777778,MB>Middle,21.9,0.257,429.906,-3.3785,3.415,2.54726793756,3.23795606596,14.4,125.95,-2.91767105,-1.332950207,-0.482181669,0.005367811,-0.006324878,-0.002550679,2459640.0
6,,2014 OP466,219.41419416666665,-13.523152777777778,MB>Middle,23.2,0.31,449.988,-1.0605,4.934,2.23833884949,2.93981263494,15.9,125.94,-2.67769966,-1.126216937,-0.418217912,0.00417619,-0.008239114,-0.002725477,2459640.0
7,85082,2158 T-2,219.6148308333333,-13.380287222222222,MB>Inner,20.6,0.116,459.312,9.0157,2.158,1.53260647549,2.26846967742,20.85,125.79,-2.153433314,-0.686537239,-0.243445742,0.005375417,-0.009546122,-0.003636573,2459640.0
8,394534,2007 TT438,219.46629666666666,-13.291818611111111,MB>Middle,22.0,0.11,480.792,6.4594,3.007,1.73435711748,2.45951995763,19.12,125.96,-2.311050507,-0.813559176,-0.290204918,0.005880743,-0.008811847,-0.003232268,2459640.0
9,,2016 CM286,219.63681666666665,-13.465609444444445,MB>Outer,22.0,0.322,531.98,-2.6417,-4.489,2.27890615374,2.9767513602,15.73,125.75,-2.704884783,-1.163735011,-0.409680477,0.004447638,-0.007410934,-0.005106224,2459640.0
10,,2007 VQ36,219.43707041666664,-13.284595,MB>Middle,22.9,96.965,533.695,-7.3679,-5.689,2.13402108904,2.8401892541,16.46,125.98,-2.589999559,-1.068612834,-0.365294953,0.00259897,-0.007510768,-0.005722418,2459640.0
11,129994,1999 VQ18,219.53814874999998,-13.565921111111113,MB>Middle,20.6,0.084,539.554,0.6891,-11.121,1.70496492263,2.43035107387,19.4,125.81,-2.280036088,-0.800889493,-0.272230048,0.004950133,-0.008042645,-0.006117551,2459640.0
12,,2016 ER238,219.52933166666662,-13.271548888888889,MB>Outer,22.2,0.607,561.757,-2.3764,-5.636,2.2326797014,2.9339874599,15.94,125.9,-2.674244646,-1.132163048,-0.389293987,0.004449628,-0.007542137,-0.00544736,2459640.0
13,,2023 PK2,219.62343791666663,-13.333517777777779,MB>Middle,24.0,0.0,564.176,-2.7823,5.005,2.51831904826,3.20827573965,14.56,125.8,-2.886103361,-1.314033309,-0.477998633,0.004541022,-0.007203967,-0.002359524,2459640.0
14,247941,2003 XN42,219.35873416666666,-13.332333888888888,MB>Outer,21.1,0.009,567.803,-9.0952,-5.577,2.64948584313,3.33810998379,13.94,126.04,-2.977254282,-1.390720154,-0.484442989,0.002325061,-0.006527863,-0.005940187,2459640.0
15,207185,2005 EH16,219.4030270833333,-13.280363333333334,MB>Middle,22.0,0.164,599.81,-2.9417,2.697,2.14502214672,2.85108512805,16.39,126.02,-2.604073761,-1.06911796,-0.381985516,0.003352111,-0.008318269,-0.003564881,2459640.0
16,252064,2000 SX127,219.33448666666663,-13.499424444444443,MB>Inner,22.0,0.211,613.851,-4.297,-0.383,1.89257394884,2.61005837701,17.96,126.02,-2.414385165,-0.912223815,-0.326452433,0.003337297,-0.008045568,-0.004256435,2459640.0
17,133886,2004 PV101,219.39494041666663,-13.566168333333334,MB>Outer,20.7,0.078,615.544,-5.5118,10.976,2.61768027561,3.3061384753,14.09,125.94,-2.942978048,-1.355086138,-0.518550099,0.001206425,-0.008891623,-0.001259114,2459640.0
18,,2020 SJ14,219.31275666666664,-13.45220222222222,MB>Middle,23.7,22.68,633.827,-17.6033,-13.133,2.15082399319,2.85702334759,16.35,126.05,-2.591529862,-1.085932872,-0.362035567,0.000662417,-0.005798052,-0.007718209,2459640.0
19,,2006 ST202,219.60407541666663,-13.284145,MB>Middle,22.6,0.326,637.527,-2.2698,5.771,2.34925877155,3.04538388362,15.35,125.83,-2.757917612,-1.205210624,-0.436759639,0.004179061,-0.007750856,-0.002402492,2459640.0
20,380513,2004 FL47,219.44487124999998,-13.238061944444443,MB>Inner,21.1,0.247,685.836,0.11,-4.904,1.59959556928,2.33306598378,20.2,125.99,-2.191984304,-0.725842661,-0.243368824,0.003080048,-0.009435597,-0.005400521,2459640.0
21,,2022 GM18,219.57084541666666,-13.23400861111111,MB>Hilda,22.0,0.065,735.697,-0.9901,2.108,2.8985281941,3.57826192537,13.01,125.87,-3.177361433,-1.547547851,-0.555980874,0.005126441,-0.007376065,-0.003082197,2459640.0
22,380985,2006 SN209,219.40765166666665,-13.615031111111112,MB>Inner,22.6,0.052,750.29,-1.7715,-0.818,1.87379413152,2.59117687592,18.12,125.92,-2.407224212,-0.904694295,-0.327393873,0.004710719,-0.007622412,-0.004008045,2459640.0
23,196939,2003 UB23,219.28332249999997,-13.478071944444444,MB>Outer,21.2,0.189,754.533,-6.1593,-1.385,2.77790269646,3.46315115164,13.42,126.07,-3.085497443,-1.467781044,-0.531994068,0.003936513,-0.006283967,-0.004271774,2459640.0
24,484636,2008 SW230,219.69950124999997,-13.481021111111112,MB>Inner,21.8,0.26,758.19,2.323,13.199,1.87101275807,2.58613846432,18.21,125.68,-2.392142211,-0.897065535,-0.339564552,0.003521594,-0.009688726,-0.001434981,2459640.0
25,2354,Lavrov,219.58682624999997,-13.222390555555556,MB>Middle,17.2,0.084,796.427,-1.7257,4.082,2.30408862075,3.00224020223,15.57,125.86,-2.725306922,-1.175971917,-0.420495905,0.004234827,-0.007910682,-0.002925195,2459640.0
26,,2016 AX234,219.67243708333328,-13.283870555555556,MB>Outer,22.7,0.012,808.674,-2.7082,3.772,2.50478277985,3.19482987741,14.63,125.76,-2.86898239,-1.302422807,-0.468318538,0.003630708,-0.007978409,-0.003029863,2459640.0
27,451938,2014 MF,219.37439166666664,-13.622230555555555,MB>Middle,21.3,0.006,825.307,8.3363,10.011,1.73049617713,2.45578922224,19.15,125.95,-2.306748566,-0.803142293,-0.308207996,0.005681014,-0.009484785,-0.00184942,2459640.0
28,327761,2006 UL38,219.72990166666665,-13.454077499999999,MB>Inner,22.0,0.209,842.872,-0.9248,-3.363,1.81286147162,2.53079853233,18.63,125.66,-2.358298374,-0.876304398,-0.304782705,0.00503928,-0.007502776,-0.00450763,2459640.0
29,452423,2002 VD147,219.25322666666665,-13.45933111111111,MB>Middle,22.7,0.466,843.684,-4.0098,0.824,2.3665992821,3.06513326149,15.2,126.11,-2.781736516,-1.210135303,-0.440327562,0.004655969,-0.00682764,-0.003526468,2459640.0
30,,2001 KV80,219.26983083333332,-13.517430833333334,MB>Inner,22.6,0.111,846.385,-0.7904,-5.207,1.77401203153,2.4981840274,18.78,126.07,-2.337904319,-0.840238318,-0.295147326,0.005065766,-0.007643532,-0.004884953,2459640.0
31,543090,2013 SG35,219.61226374999995,-13.628583888888889,MB>Outer,23.5,0.019,852.235,-5.9132,4.032,3.20361796804,3.87424205543,12.02,125.72,-3.387973222,-1.74066285,-0.651713539,0.003187296,-0.006551374,-0.002413755,2459640.0
32,,2017 BK40,219.41521583333332,-13.198170555555556,MB>Middle,21.9,0.253,852.616,0.8021,-0.299,1.82288768343,2.54401569674,18.44,126.03,-2.361731498,-0.862872716,-0.299103102,0.003273572,-0.009513722,-0.004520792,2459640.0
33,435500,2008 GK100,219.38893875,-13.207407499999999,MB>Inner,22.3,0.016,855.415,11.9414,0.164,1.39400342469,2.14204538963,22.08,126.05,-2.05248132,-0.592929549,-0.203792245,0.00516612,-0.010167294,-0.004161276,2459640.0
34,,2016 AG341,219.66192374999997,-13.252829444444444,MB>Outer,23.3,0.16,856.253,-3.8605,6.158,2.53919537873,3.2283279825,14.47,125.78,-2.890158486,-1.322404056,-0.478629438,0.002858312,-0.008166943,-0.002465522,2459640.0
35,,2013 YO153,219.31045291666666,-13.252152777777777,MB>Inner,21.8,0.009,883.279,5.8769,1.994,1.46582184296,2.20926264834,21.35,126.11,-2.091691289,-0.630472536,-0.219846053,0.002787767,-0.010942548,-0.004382828,2459640.0
36,,2002 GW27,219.2266070833333,-13.418627777777777,MB>Outer,22.9,0.589,926.991,-1.6548,3.099,2.26497967391,2.96763838547,15.7,126.14,-2.699859852,-1.136162979,-0.416270841,0.003700862,-0.008469329,-0.003351926,2459640.0
37,,2014 QJ159,219.72795083333332,-13.541774722222222,MB>Middle,23.1,0.596,932.105,-5.424,-1.897,2.49459272395,3.18358831423,14.71,125.64,-2.863980624,-1.308198657,-0.468972204,0.004555823,-0.006175101,-0.004225216,2459640.0
38,288915,2004 SL3,219.49238458333332,-13.68732,MB>Inner,21.8,0.208,951.066,1.7578,7.278,1.90467700694,2.61949657597,17.94,125.82,-2.425086392,-0.916376418,-0.347331726,0.004238715,-0.008997098,-0.002451447,2459640.0
39,,2015 AT50,219.48076166666664,-13.689506944444444,MB>Outer,22.2,0.005,959.64,-2.2443,3.78,2.58774651855,3.27583767028,14.25,125.83,-2.934421022,-1.344467222,-0.506188553,0.003819359,-0.008021216,-0.002880547,2459640.0
40,,2021 AO21,219.21460874999997,-13.451080833333332,MB>Outer,23.1,85.955,974.008,-5.1904,0.24,2.34631486439,3.04599153153,15.29,126.14,-2.753522535,-1.187721966,-0.430245653,0.002547634,-0.008153076,-0.004285142,2459640.0
41,210356,2007 UP41,219.47801583333333,-13.149587222222221,MB>Middle,21.0,0.197,985.891,-0.1772,-1.114,1.79362177232,2.51583847938,18.67,125.98,-2.335369211,-0.845562133,-0.288984301,0.002757329,-0.009652687,-0.004815491,2459640.0
