,Number,Name,RA,DEC,Type,V,posunc,centerdist,RA_rate,DEC_rate,geodist,heliodist,alpha,elong,x,y,z,vx,vy,vz,epoch
0,32443,Davidhaack,136.68377875,2.1369333333333334,MB>Middle,17.3,0.007,2.91,-22.1129,-0.358,1.4105636215,2.29354078011,15.07,143.29,-1.978995919,1.148126056,0.151788331,-0.004548825,-0.008876404,-0.006631958,2460010.0
1,602287,2014 FV49,136.71955749999998,2.251373888888889,MB>Middle,20.1,0.042,434.196,-16.1492,8.405,1.55293400299,2.4314893667,14.18,143.33,-2.077556974,1.247010661,0.148146791,-0.00526416,-0.009161798,-0.005030527,2460010.0
2,,2017 VD59,136.69896791666665,2.2897447222222223,MB>Middle,22.5,1.895,555.623,-16.8163,15.092,1.91373753519,2.78241341383,12.36,143.31,-2.335008157,1.481663661,0.149237285,-0.005825499,-0.007455133,-0.00312238,2460010.0
3,,2013 LQ25,136.83019625,2.051984722222222,MB>Outer,21.8,0.14,607.197,-16.7303,12.359,2.12395779877,2.98894369691,11.46,143.43,-2.504262728,1.630527566,0.151916302,-0.004101856,-0.008546699,-0.003535524,2460010.0
4,123519,2000 XM3,136.52360916666666,2.225883888888889,MB>Middle,19.7,0.015,661.058,-21.6442,7.687,2.24780901172,3.10810436392,11.09,143.13,-2.584270491,1.705884332,0.170332198,-0.004338088,-0.006168288,-0.004490055,2460010.0
5,,2010 WL58,136.47925291666664,2.1821172222222223,MB>Outer,21.9,0.15,754.683,-16.4351,10.979,2.51075281551,3.36608104174,10.24,143.08,-2.769214629,1.892686822,0.169675045,-0.004914756,-0.006784937,-0.00329939,2460010.0
6,,2014 WG355,136.88075999999998,1.9856580555555556,MB>Hilda,20.6,0.043,891.597,-11.986,10.366,2.30992089671,3.17172281597,10.78,143.48,-2.621124245,1.746785035,0.157234639,-0.006773802,-0.007292743,-0.003714194,2460010.0
7,604517,2015 RH86,136.44100916666667,2.0508919444444444,MB>Outer,21.4,0.032,926.246,-15.4036,14.598,2.51648169528,3.37138305474,10.23,143.04,-2.768237337,1.897028135,0.15612601,-0.005464349,-0.006656491,-0.00223294,2460010.0
8,,1999 TJ68,136.60779791666664,2.3929288888888887,MB>Outer,22.0,0.068,964.16,-13.8469,20.105,2.42814752543,3.28589308871,10.46,143.22,-2.699764761,1.828669056,0.156181107,-0.006661591,-0.006385013,-0.00073123,2460010.0
