,Number,Name,RA,DEC,Type,V,posunc,centerdist,RA_rate,DEC_rate,geodist,heliodist,alpha,elong,x,y,z,vx,vy,vz,epoch
0,,169P,184.52295541666666,-0.30987055555555554,Comet,19.9,0.27,110.596,-43.3409,24.123,2.02147258026,3.0159128032,3.11,170.55,-2.93887424,-0.021684829,0.035380087,-0.007122257,-0.005960066,-0.001187874,2460010.0
1,497042,2003 SO197,184.49791291666662,-0.3372322222222222,MB>Inner,22.6,0.127,193.079,-35.6131,11.835,1.88452408475,2.87920767355,3.25,170.57,-2.873667619,0.007315588,0.064440188,0.000275813,-0.007765089,-0.004224181,2460010.0
2,6653,Feininger,184.49009749999996,-0.34205027777777774,MB>Outer,17.5,0.011,224.766,-28.9894,11.493,2.05348743526,3.04792689347,3.07,170.57,-3.031795238,0.003681397,0.061883763,-0.000780612,-0.0087368,-0.004080738,2460010.0
3,,2007 RH359,184.4929608333333,-0.35006777777777776,MB>Middle,22.7,0.115,225.105,-28.9558,16.326,2.06590358783,3.0603161679,3.06,170.57,-3.056899161,0.001279764,0.050108922,0.00054562,-0.008598989,-0.002894752,2460010.0
4,559176,2015 BE518,184.61436333333333,-0.3709633333333333,Centaur,20.9,0.042,285.889,-6.2269,1.946,16.36466585226,17.3551644014,0.54,170.45,-17.31111798,-1.20110701,-0.041401771,0.000956745,-0.003667132,-0.003112768,2460010.0
5,54505,2000 OK55,184.48641874999998,-0.22283694444444446,MB>Outer,19.0,0.016,431.499,-27.9945,14.366,1.89002159819,2.88476902973,3.23,170.61,-2.877687278,0.023328379,0.062821111,0.000119488,-0.009434817,-0.003666955,2460010.0
6,122776,2000 SP79,184.61620624999998,-0.22406555555555557,MB>Inner,19.1,0.018,432.886,-30.6155,23.859,1.22320507144,2.2191293359,4.27,170.48,-2.20920576,0.090215537,0.063112118,-0.000362772,-0.011240942,-0.003425141,2460010.0
7,,2014 OE303,184.42221666666666,-0.3589488888888889,MB>Outer,22.6,0.146,476.488,-27.3024,11.263,2.42045676242,3.41455095322,2.72,170.63,-3.408537594,-0.030341308,0.054807521,0.000362683,-0.007891581,-0.00364876,2460010.0
8,,2014 HP109,184.70115624999997,-0.35524249999999996,MB>Middle,21.4,0.052,555.335,-27.7467,20.303,1.84488158177,2.83925327626,3.37,170.36,-2.855009287,0.019920281,0.04700043,0.002496206,-0.009429729,-0.002447785,2460010.0
9,,2009 UE22,184.6212595833333,-0.16974305555555555,MB>Outer,22.5,0.26,613.169,-26.0533,12.512,2.56068370637,3.5543237136,2.66,170.49,-3.533214564,-0.049659775,0.057174194,-0.001133042,-0.007930574,-0.003107174,2460010.0
10,250766,2005 SQ262,184.60586541666666,-0.49087000000000003,MB>Outer,20.9,0.045,631.986,-27.4549,13.78,2.07616897576,3.07028539016,3.1,170.42,-3.057714006,0.000235188,0.050675678,-0.000395649,-0.008997856,-0.003490744,2460010.0
11,328390,2008 RP101,184.4474670833333,-0.4692602777777778,MB>Outer,21.2,0.062,638.777,-23.8051,18.638,2.38931449229,3.38333812758,2.76,170.58,-3.371895056,-0.018243218,0.031076656,-0.000209665,-0.00900846,-0.00163958,2460010.0
12,,2008 FA148,184.61981041666664,-0.5231741666666667,MB>Inner,21.3,0.128,758.287,-36.379,6.454,1.30779900807,2.30337061301,4.14,170.4,-2.301833792,0.071302114,0.078980135,0.000528249,-0.009994202,-0.005818047,2460010.0
