,Number,Name,RA,DEC,Type,V,posunc,centerdist,RA_rate,DEC_rate,geodist,heliodist,alpha,elong,x,y,z,vx,vy,vz,epoch
0,,15P,112.03604416666666,30.108843055555557,Comet,17.7,0.48,61.451,-0.0112,-8.939,2.22491370645,2.88027598586,17.1,121.66,-1.618175976,1.978018428,1.196542639,-0.011031131,0.001478196,0.001212656,2459640.0
1,,2012 QQ66,112.07654749999999,30.13493777777778,MB>Middle,23.1,5.555,108.994,-3.7605,-13.875,2.27927428078,2.93256877486,16.78,121.69,-1.655423083,2.049169766,1.254332234,-0.008187215,-0.002909829,-0.003334592,2459640.0
2,136770,1996 PC1,112.05912624999999,30.163905555555555,NEA>Apollo,23.3,0.096,192.063,7.3857,-45.521,1.20690607175,1.93152891818,26.05,121.67,-1.285979098,1.175855583,0.725215373,-0.011436407,-0.000718397,-0.004616525,2459640.0
3,64280,2001 TC235,112.06989458333332,30.0544425,MB>Inner,19.8,0.062,207.105,10.135,-2.311,1.47824869176,2.17868561715,22.89,121.7,-1.385382132,1.432162759,0.836580824,-0.009772105,-0.006523335,-0.001183648,2459640.0
4,96186,1990 SF8,111.99470166666666,30.03077722222222,MB>Inner,19.0,0.042,344.576,12.5996,-11.69,1.44095415404,2.14383281059,23.3,121.64,-1.366931356,1.397237707,0.824980529,-0.010531205,-0.00561435,-0.002344929,2459640.0
5,,2015 XZ461,112.16443124999999,30.069155277777778,MB>Outer,23.3,1.449,370.242,-3.2028,-1.171,2.83088805509,3.46518987886,14.12,121.78,-1.841453065,2.496883876,1.507285465,-0.007765366,-0.003781798,-9.9785e-05,2459640.0
6,,2017 HR6,112.04287458333333,30.234525555555557,MB>Outer,21.3,0.028,447.767,0.3227,-5.838,2.28880346546,2.94108669911,16.74,121.64,-1.657652349,2.076429255,1.257931176,-0.008038791,-0.006138956,-0.002625755,2459640.0
7,607370,2000 WM64,112.22905333333333,30.158007777777776,MB>Middle,22.2,0.172,566.128,5.6109,-2.786,1.82975382276,2.5071674528,19.72,121.81,-1.504412171,1.704543193,1.013583022,-0.009541949,-0.005576784,-0.000908864,2459640.0
8,,2017 DQ132,112.15948333333333,29.974438888888887,Mars-Crosser,21.8,0.634,587.441,12.7864,-46.025,1.05305466009,1.79586911543,28.16,121.8,-1.246540258,1.084277471,0.657856312,-0.010182037,-0.005404289,-0.006593409,2459640.0
9,,2023 JZ14,112.25241125,30.100604722222222,MB>Middle,23.0,6.306,613.8,-3.6373,-9.836,2.17228163871,2.83213791618,17.37,121.84,-1.63184011,1.977654773,1.200288775,-0.007331539,-0.005329715,-0.003454021,2459640.0
10,,2011 UF450,111.95258916666666,30.29803388888889,MB>Middle,23.2,0.07,746.973,-6.2995,-3.524,2.42837731361,3.07386814576,16.01,121.55,-1.712266603,2.187379088,1.328610306,-0.006048933,-0.006022792,-0.002334134,2459640.0
11,,2003 WU202,111.95959333333332,29.903985277777775,MB>Inner,22.2,0.916,801.982,8.7113,-12.918,1.58796199185,2.27947548955,21.84,121.65,-1.416023137,1.511886016,0.896400041,-0.010275264,-0.004815432,-0.002489961,2459640.0
12,156056,2001 SN56,112.02779083333331,29.88041527777778,MB>Inner,19.2,0.046,833.354,9.7483,-5.887,1.56812469881,2.26173885965,22.0,121.71,-1.414851329,1.50783442,0.883398202,-0.009718886,-0.006685694,-0.002098324,2459640.0
13,29717,1999 AC8,111.90667916666665,30.314656944444444,MB>Inner,18.5,0.096,868.492,8.5482,-13.112,1.33650165704,2.04703905362,24.52,121.5,-1.341822486,1.326156142,0.789398393,-0.008758653,-0.00793371,-0.004020245,2459640.0
14,,2016 UK249,111.85781874999999,29.920162222222224,MB>Middle,22.2,0.082,922.266,1.2908,-2.625,2.24152938309,2.89493527352,17.03,121.56,-1.631388127,2.031971736,1.207965484,-0.009181489,-0.003886073,-0.000243179,2459640.0
15,,2020 OQ1,111.85650749999999,29.901577222222222,Mars-Crosser,26.0,30.185,975.676,-7.6536,-7.132,3.0457882306,3.67117671824,13.35,121.56,-1.905790322,2.662434164,1.616212823,-0.006893678,-0.001312035,-0.001480443,2459640.0
16,,2011 FR19,112.23035499999999,29.885106666666665,MB>Outer,23.1,5.687,977.675,-1.0822,-4.035,2.06786332329,2.7330864882,18.01,121.88,-1.601141517,1.915816399,1.140211959,-0.006925817,-0.008071702,-0.003302027,2459640.0
17,293147,2006 YK5,111.9490125,29.845382777777775,MB>Inner,21.2,0.133,1011.191,0.3407,-2.12,1.84871689158,2.52325379511,19.63,121.65,-1.517016938,1.735989498,1.020998068,-0.007736415,-0.006905663,-0.001926584,2459640.0
