,Number,Name,RA,DEC,Type,V,posunc,centerdist,RA_rate,DEC_rate,geodist,heliodist,alpha,elong,x,y,z,vx,vy,vz,epoch
0,,108P,104.14539416666666,37.26095055555555,Comet,17.6,0.37,34.282,28.5794,-14.458,1.82521601947,2.37509415145,23.08,110.83,-1.211085751,1.588859675,1.164961443,-0.013066188,-0.002237379,0.001014137,2459640.0
1,,2014 HA237,104.14925208333332,37.23750833333333,MB>Middle,22.2,5.757,88.471,14.7191,-8.916,1.8969178565,2.44124838851,22.42,110.83,-1.263893203,1.688543517,1.234272298,-0.008963539,-0.006898039,-0.001802373,2459640.0
2,92107,1999 XH56,104.26035499999999,37.15105972222222,MB>Outer,20.2,0.06,494.47,7.2977,-6.052,2.71553184782,3.21406419857,16.81,110.94,-1.428527692,2.286960582,1.700224709,-0.008837653,-0.003268893,0.000919023,2459640.0
3,,2015 XE159,104.33502374999999,37.31656333333333,MB>Outer,21.3,0.184,546.48,8.1195,-17.579,2.54003983136,3.04694816227,17.76,110.96,-1.393272167,2.142126829,1.634943604,-0.009084275,-0.002802777,-0.002762649,2459640.0
4,,2015 TS374,104.25107708333333,37.11235611111111,MB>Outer,22.1,0.169,599.551,8.2529,-6.014,2.46001981637,2.97055739758,18.24,110.94,-1.383079649,2.111958622,1.559008621,-0.008343556,-0.005511053,-0.000596643,2459640.0
5,279117,2009 KJ7,104.32286583333332,37.41587305555555,MB>Outer,21.9,0.106,731.02,3.6344,-8.292,2.88634312327,3.37778735471,15.97,110.93,-1.474444833,2.416130006,1.829974767,-0.007565908,-0.003879374,-0.000778986,2459640.0
6,120513,1993 TJ25,103.95319083333332,37.07669611111111,MB>Outer,20.4,0.068,885.617,8.1791,-10.587,2.67307715456,3.17036466193,17.08,110.71,-1.407712507,2.257927451,1.687370564,-0.009040761,-0.003154928,-0.000725246,2459640.0
