,Number,Name,RA,DEC,Type,V,posunc,centerdist,RA_rate,DEC_rate,geodist,heliodist,alpha,elong,x,y,z,vx,vy,vz,epoch
0,,9P,343.18045416666666,-27.797730833333336,Comet,15.2,0.32,20.307,-34.2089,-14.389,1.19909742437,2.16775480038,9.38,159.49,1.846104338,-0.833377433,-0.786560714,0.010861978,0.007557895,0.001797748,2459810.0
1,28969,Youngminjeongahn,343.05289458333334,-27.74610527777778,MB>Middle,16.8,0.006,455.695,-21.4065,-31.815,1.02547830001,1.99703070428,10.13,159.6,1.700809765,-0.792929378,-0.704853517,0.007595794,0.010864493,0.001927715,2459810.0
2,244305,2002 GY78,343.20977416666665,-27.973420833333332,MB>Inner,20.4,0.038,650.399,-29.4359,-20.522,1.64368763421,2.60686423475,7.84,159.35,2.223740933,-0.946210922,-0.998771539,0.005346206,0.008330883,0.002534219,2459810.0
3,530091,2010 XR23,343.4301279166666,-27.871076388888888,MB>Middle,20.6,0.032,827.299,-25.0163,-23.426,1.71071265967,2.67298661621,7.68,159.27,2.283841735,-0.958651313,-1.027304822,0.00467369,0.009199258,0.002180795,2459810.0
4,,2006 UR315,343.39874,-28.002353055555556,MB>Outer,21.3,0.16,1011.688,-24.6362,-14.036,1.85477928406,2.81554770474,7.31,159.21,2.40351581,-0.994984144,-1.099317117,0.005074008,0.008730256,0.003757818,2459810.0
