,Number,Name,RA,DEC,Type,V,posunc,centerdist,RA_rate,DEC_rate,geodist,heliodist,alpha,elong,x,y,z,vx,vy,vz,epoch
0,,169P,184.80036083333331,-0.4644447222222222,Comet,19.9,0.27,70.348,-43.3016,24.157,2.01761373863,3.00923448189,3.53,169.29,-2.93887424,-0.021684829,0.035380087,-0.007122257,-0.005960066,-0.001187874,2460010.0
1,,2014 HP109,184.87761249999997,-0.4846858333333333,MB>Middle,21.4,0.052,222.145,-27.3686,20.129,1.8499922966,2.84177994155,3.76,169.21,-2.855009287,0.019920281,0.04700043,0.002496206,-0.009429729,-0.002447785,2460010.0
2,,2008 FA148,184.85119874999998,-0.5641102777777778,MB>Inner,21.3,0.128,343.163,-35.8908,6.332,1.31112296194,2.3043468426,4.65,169.22,-2.301833792,0.071302114,0.078980135,0.000528249,-0.009994202,-0.005818047,2460010.0
3,122776,2000 SP79,184.81083374999997,-0.3762627777777777,MB>Inner,19.1,0.018,357.063,-30.1736,23.679,1.22562340881,2.21929666251,4.79,169.31,-2.20920576,0.090215537,0.063112118,-0.000362772,-0.011240942,-0.003425141,2460010.0
4,250766,2005 SQ262,184.78083416666664,-0.5788213888888889,MB>Outer,20.9,0.045,394.397,-27.1932,13.691,2.0784914737,3.06997247908,3.46,169.28,-3.057714006,0.000235188,0.050675678,-0.000395649,-0.008997856,-0.003490744,2460010.0
5,497042,2003 SO197,184.72488666666666,-0.41269361111111114,MB>Inner,22.6,0.127,399.782,-35.2799,11.735,1.88759914641,2.87965875927,3.66,169.38,-2.873667619,0.007315588,0.064440188,0.000275813,-0.007765089,-0.004224181,2460010.0
6,605986,2017 BP137,184.89794374999997,-0.5704797222222222,MB>Outer,21.4,0.105,450.729,-28.3449,7.877,2.02601223497,3.01734998499,3.56,169.17,-3.000915982,-0.000122289,0.064132616,-0.000880928,-0.008927762,-0.00494906,2460010.0
7,,2007 RH359,184.67744541666664,-0.45426222222222223,MB>Middle,22.7,0.115,506.711,-28.6661,16.219,2.0691433852,3.06093116522,3.43,169.42,-3.056899161,0.001279764,0.050108922,0.00054562,-0.008598989,-0.002894752,2460010.0
8,6653,Feininger,184.67490833333332,-0.41539611111111113,MB>Outer,17.5,0.011,553.843,-28.7339,11.416,2.05544108237,3.047281052,3.44,169.43,-3.031795238,0.003681397,0.061883763,-0.000780612,-0.0087368,-0.004080738,2460010.0
9,216404,2008 EY108,184.95127499999998,-0.576085,MB>Outer,21.1,0.057,605.521,-27.6184,13.984,2.01810865584,3.00934574902,3.58,169.12,-3.00343272,-0.000540267,0.051555075,0.000337977,-0.009017667,-0.003510444,2460010.0
10,97161,1999 VV182,184.77318999999997,-0.6385386111111111,MB>Outer,19.7,0.042,608.184,-27.8384,11.448,1.90103637509,2.89283995504,3.68,169.27,-2.872047367,0.019651143,0.057308255,-0.001434293,-0.009501017,-0.004277505,2460010.0
11,63245,2001 BP30,184.7164633333333,-0.6230913888888889,MB>Outer,19.6,0.046,642.784,-27.6529,13.672,1.79260940956,2.78476614106,3.8,169.33,-2.760339591,0.034149113,0.056282581,-0.001887458,-0.009927782,-0.003963101,2460010.0
12,559176,2015 BE518,184.6541420833333,-0.3833977777777778,Centaur,20.9,0.042,671.971,-6.1979,1.938,16.3684154442,17.35582801991,0.6,169.46,-17.31111798,-1.20110701,-0.041401771,0.000956745,-0.003667132,-0.003112768,2460010.0
13,,2012 SC49,184.97650666666664,-0.36450638888888887,MB>Middle,22.5,0.087,700.21,-30.1325,15.761,1.90082046904,2.8923633932,3.72,169.15,-2.867909349,0.008794228,0.058222682,-0.001830617,-0.009022513,-0.003332727,2460010.0
14,593138,2015 GC36,184.75713624999997,-0.6675630555555555,MB>Middle,20.9,0.041,724.598,-29.5613,19.412,1.6940293554,2.68630499375,3.96,169.28,-2.667328455,0.040088048,0.047529578,-0.001282439,-0.009814758,-0.002980221,2460010.0
15,612252,2001 RJ130,184.96461666666661,-0.3362763888888889,MB>Inner,22.1,0.132,730.917,-33.1309,12.777,1.80081849702,2.79261821149,3.85,169.17,-2.797358592,0.012903113,0.066578302,0.001513442,-0.008451448,-0.004120915,2460010.0
16,255284,2005 VO77,184.87218874999996,-0.6872050000000001,MB>Outer,21.0,0.048,788.726,-27.7735,11.27,2.16566752283,3.15673114655,3.4,169.16,-3.144826249,-0.014214674,0.049725276,-0.000321244,-0.008565915,-0.003956316,2460010.0
17,54505,2000 OK55,184.66471875,-0.3145072222222222,MB>Outer,19.0,0.016,796.26,-27.696,14.266,1.89281119339,2.88503532444,3.62,169.46,-2.877687278,0.023328379,0.062821111,0.000119488,-0.009434817,-0.003666955,2460010.0
18,,2014 OE303,184.59627541666666,-0.4308236111111111,MB>Outer,22.6,0.146,809.22,-27.0633,11.187,2.42350602918,3.41491756021,3.05,169.5,-3.408537594,-0.030341308,0.054807521,0.000362683,-0.007891581,-0.00364876,2460010.0
19,31444,1999 CW2,184.85618791666664,-0.6983613888888889,MB>Inner,18.1,0.019,815.636,-35.1792,8.568,1.05901832498,2.05309608588,5.24,169.18,-2.047950734,0.102602136,0.078158176,0.000158222,-0.011148906,-0.005719459,2460010.0
20,,2009 UE22,184.78745124999998,-0.2496752777777778,MB>Outer,22.5,0.26,818.936,-25.8555,12.454,2.56229902748,3.55320608578,2.97,169.36,-3.533214564,-0.049659775,0.057174194,-0.001133042,-0.007930574,-0.003107174,2460010.0
21,328390,2008 RP101,184.59919291666665,-0.5883180555555556,MB>Outer,21.2,0.062,882.194,-23.5838,18.549,2.39176246398,3.38311538061,3.09,169.45,-3.371895056,-0.018243218,0.031076656,-0.000209665,-0.00900846,-0.00163958,2460010.0
22,604105,2015 KR153,184.80549999999997,-0.7429188888888888,MB>Middle,20.6,0.042,964.347,-38.4059,-0.419,1.46965180454,2.462377742,4.35,169.21,-2.453131991,0.050190431,0.081809742,-0.000216193,-0.008972562,-0.006856235,2460010.0
23,,2010 JM120,184.56423041666667,-0.5911541666666668,MB>Middle,21.4,0.087,999.777,-28.3191,20.42,1.74250127029,2.73508506696,3.81,169.49,-2.750351059,0.039970814,0.04623879,0.002678311,-0.009590794,-0.002628365,2460010.0
