,Number,Name,RA,DEC,Type,V,posunc,centerdist,RA_rate,DEC_rate,geodist,heliodist,alpha,elong,x,y,z,vx,vy,vz,epoch
0,,137P,173.41873999999999,-2.5160497222222222,Comet,24.6,0.3,14.942,-17.7713,7.601,5.5691917361,6.55445253015,1.67,168.93,-6.474247521,0.890279506,-0.135208373,-0.002551489,-0.003972988,-0.001670974,2459640.0
1,145553,2006 LN5,173.49938583333332,-2.487763888888889,MB>Inner,20.8,0.252,318.855,-34.0749,16.85,1.87904188718,2.86787953565,3.83,168.9,-2.818104013,0.48401516,0.032898375,-0.001292149,-0.008199912,-0.002830744,2459640.0
2,224076,2005 NX60,173.36388916666667,-2.437879166666667,MB>Inner,21.3,0.012,331.312,-34.4996,12.431,1.97121847526,2.96013494081,3.67,169.03,-2.908687513,0.496982119,0.034353909,-0.001389952,-0.007729616,-0.003674798,2459640.0
3,93176,2000 SA103,173.38181416666666,-2.6069547222222225,MB>Inner,19.3,0.191,353.343,-30.3391,20.051,1.4863466326,2.47618830355,4.44,168.89,-2.430768732,0.452829169,0.047601528,-0.000653033,-0.010492517,-0.00299648,2459640.0
4,367692,2010 RW99,173.31114791666667,-2.513296388888889,MB>Inner,20.3,0.0,373.085,-35.586,15.754,1.1108375363,2.10223899399,5.18,169.0,-2.042671885,0.412078426,0.073539168,-0.004162604,-0.010728672,-0.004578406,2459640.0
5,,2011 RU32,173.32833083333333,-2.577761944444444,MB>Middle,22.1,0.055,385.616,-30.4367,14.701,1.83696292015,2.8259901924,3.87,168.94,-2.770995677,0.488402947,0.034417944,-0.002327932,-0.009037104,-0.003411145,2459640.0
6,188188,2002 NW37,173.36121125,-2.351745,MB>Hilda,21.1,0.086,616.988,-20.419,10.212,3.98661882765,4.97321448336,2.16,169.1,-4.904898208,0.722392546,-0.053543681,-0.00227271,-0.006063461,-0.001841356,2459640.0
7,,2015 HZ145,173.30890416666665,-2.3676616666666668,MB>Inner,21.5,0.245,651.782,-35.3815,9.742,1.79356721028,2.78306811233,3.87,169.12,-2.732705441,0.480618806,0.047725475,-0.001303038,-0.008273403,-0.004489134,2459640.0
8,,2019 QY18,173.22265499999997,-2.5256608333333332,MB>Middle,23.4,0.297,692.487,-27.9562,14.79,2.36982918034,3.35806945774,3.22,169.05,-3.306641617,0.550090352,0.008161506,-0.000649832,-0.008031563,-0.002411957,2459640.0
9,,2019 JP80,173.39613583333332,-2.321633611111111,MB>Inner,22.0,0.117,697.685,-34.2638,15.997,1.34521384983,2.33591230513,4.62,169.1,-2.284660883,0.435020916,0.065338457,-0.002104879,-0.010204177,-0.004036597,2459640.0
10,185314,2006 UO328,173.61984374999997,-2.4643247222222224,MB>Inner,20.6,0.006,759.025,-38.1563,8.013,1.47712212926,2.46689635516,4.48,168.84,-2.413839097,0.438807401,0.06141979,-0.002599276,-0.008940801,-0.00518717,2459640.0
11,169893,2002 RP174,173.22091583333332,-2.6071905555555555,MB>Middle,20.7,0.012,773.219,-30.9654,12.821,1.86378403238,2.85285012073,3.82,168.99,-2.797359302,0.494078732,0.033855997,-0.002280728,-0.00883508,-0.003772151,2459640.0
12,,2004 TR183,173.57686541666664,-2.663748611111111,MB>Inner,22.5,0.001,792.447,-36.4172,17.57,1.51658110537,2.50598275553,4.46,168.72,-2.451394286,0.44474176,0.046827258,-0.002880463,-0.009043379,-0.003470489,2459640.0
13,255526,2006 ET42,173.18621208333332,-2.4708952777777777,MB>Inner,21.2,0.01,837.278,-36.8487,15.408,1.3708762012,2.36153355027,4.56,169.12,-2.318619391,0.4417729,0.060524711,-2.4224e-05,-0.009942943,-0.003990678,2459640.0
14,218824,2006 TD26,173.37976708333332,-2.280778888888889,MB>Inner,20.9,0.052,850.923,-34.8341,16.543,1.44049534121,2.43097228785,4.43,169.14,-2.388585619,0.44534566,0.060954191,1.3266e-05,-0.009973885,-0.003688242,2459640.0
15,247418,2002 CO234,173.64619374999995,-2.450460555555556,MB>Inner,21.9,0.273,863.348,-38.2131,11.28,1.64466022457,2.63393240047,4.2,168.83,-2.583084794,0.453593919,0.051041119,-0.001955899,-0.008254902,-0.004383935,2459640.0
16,409746,2006 DL44,173.3753570833333,-2.2668616666666668,MB>Outer,20.2,0.027,902.863,-29.1967,9.095,1.71717625027,2.70692801949,3.97,169.15,-2.653255231,0.47621115,0.055006399,-0.002208536,-0.009724784,-0.004737739,2459640.0
17,342306,2008 TN61,173.537915,-2.2745266666666666,MB>Middle,20.6,0.087,970.759,-31.4075,17.243,1.37181681598,2.36231549827,4.6,169.04,-2.305004562,0.435515837,0.064543675,-0.003565265,-0.010385959,-0.003846692,2459640.0
18,227649,2006 BB133,173.5990220833333,-2.31621,MB>Outer,20.1,0.015,973.871,-28.7967,9.051,2.12848810929,3.11694881158,3.5,168.97,-3.071365798,0.510533074,0.034667039,-0.000159031,-0.008644388,-0.004236451,2459640.0
19,54459,2000 NX24,173.62010291666664,-2.692518888888889,MB>Middle,18.4,0.108,977.408,-30.33,10.524,1.63710206281,2.62604330538,4.27,168.67,-2.579229416,0.460774557,0.044870528,-0.001045602,-0.009902092,-0.00447777,2459640.0
20,,2006 UM146,173.43246791666664,-2.7915908333333332,MB>Middle,22.2,0.39,999.439,-29.8733,13.604,2.13258717349,3.12045779593,3.58,168.71,-3.06337982,0.514633025,0.01217375,-0.00254355,-0.008098322,-0.003188037,2459640.0
