,Number,Name,RA,DEC,Type,V,posunc,centerdist,RA_rate,DEC_rate,geodist,heliodist,alpha,elong,x,y,z,vx,vy,vz,epoch
0,,150P,15.286765416666665,28.50139777777778,Comet,21.5,0.3,11.212,-15.5288,-18.575,3.16698032297,3.97822013963,8.94,141.19,3.229200159,1.489964171,1.853116354,-0.007259739,0.004235262,-0.000764548,2459900.0
1,,2016 EC343,15.10453333333333,28.643399444444444,MB>Middle,21.8,0.009,764.756,-23.2504,-3.538,1.52811539422,2.37217084333,15.14,141.03,1.841665145,1.097307536,1.036114701,-0.007619588,0.005819509,0.006367104,2459900.0
2,43423,2000 XQ41,15.537825833333333,28.58248888888889,MB>Middle,18.4,0.011,840.024,-21.4041,-6.521,1.77495886376,2.61395483212,13.6,141.41,2.046037956,1.166050866,1.156112606,-0.007170184,0.005679889,0.005741823,2459900.0
