,Number,Name,RA,DEC,Type,V,posunc,centerdist,RA_rate,DEC_rate,geodist,heliodist,alpha,elong,x,y,z,vx,vy,vz,epoch
0,,143P,18.77957333333333,11.422561388888889,Comet,22.7,0.28,17.032,-9.8652,-5.796,5.29228403225,6.02501523361,6.62,135.23,5.313797685,2.488519076,1.403867083,-0.002668564,0.004407137,0.001516493,2459910.0
1,56653,2000 KS48,18.82681458333333,11.463876666666666,MB>Inner,19.8,0.011,206.39,-5.2202,-11.227,1.6311466147,2.42645178915,16.58,135.29,1.922470876,1.323700663,0.676990565,-0.005481198,0.00886151,0.002753061,2459910.0
2,578666,2014 EE99,18.699452083333334,11.3657825,MB>Outer,22.0,0.037,365.908,-8.3846,-10.061,2.25308059989,3.02603949937,13.27,135.14,2.503350189,1.51973214,0.798675181,-0.006198664,0.007302403,0.001975756,2459910.0
3,79292,1995 UH11,18.672336666666666,11.386838333333333,MB>Inner,20.2,0.015,415.723,-9.2812,-4.527,1.59759713364,2.39296949086,16.87,135.12,1.895012401,1.311801958,0.665622004,-0.006272365,0.007789517,0.003834672,2459910.0
4,145746,1995 UR18,18.729645416666663,11.535817222222223,MB>Inner,20.6,0.031,439.908,-6.6075,-3.155,1.49830057877,2.29900483051,17.54,135.22,1.800238425,1.279833414,0.648667955,-0.005704261,0.008602305,0.004322076,2459910.0
5,,2010 TM236,18.884686249999998,11.349954166666667,MB>Outer,22.2,0.068,449.4,-11.6567,-0.711,2.55170198548,3.31885009384,12.04,135.3,2.775197619,1.623410725,0.850494362,-0.004959465,0.00642043,0.004623149,2459910.0
6,81353,2000 GP50,18.734950833333333,11.284806666666666,MB>Middle,20.6,0.044,534.605,-14.7288,4.826,1.67250559353,2.46490518622,16.35,135.14,1.967488804,1.341062364,0.673981951,-0.007496365,0.006177728,0.005296648,2459910.0
7,,2014 OD439,18.655167083333332,11.341766666666667,MB>Inner,22.4,0.397,543.62,-0.357,-0.318,1.34847302211,2.15573477628,18.79,135.09,1.664245376,1.229144674,0.613250401,-0.006372778,0.009527244,0.00473092,2459910.0
8,426785,2013 TZ123,18.884662499999997,11.560274166666668,MB>Middle,21.7,0.038,602.575,-8.9886,-2.953,1.98485239897,2.76782655772,14.47,135.37,2.247561838,1.439369953,0.746788931,-0.004767345,0.007959427,0.004324817,2459910.0
9,298947,2004 TD295,18.921199166666664,11.308093333333334,MB>Inner,19.6,0.027,644.588,5.8823,0.491,1.01305228053,1.84330543041,22.03,135.32,1.358680778,1.128809753,0.54786151,-0.009430435,0.009349493,0.004254017,2459910.0
10,529238,2009 SM372,18.94588,11.338949722222223,MB>Middle,21.6,0.058,652.865,-4.8131,-0.514,1.52406330292,2.32465205891,17.3,135.35,1.826754903,1.293939325,0.648331493,-0.007142502,0.008464584,0.004469927,2459910.0
11,,2009 DG100,18.927951666666665,11.299690277777778,MB>Outer,21.5,0.031,682.463,-10.8082,0.741,2.0315780832,2.81267966934,14.24,135.33,2.295956235,1.458715051,0.746016474,-0.006369183,0.006911586,0.004775096,2459910.0
12,,2017 HP29,18.595485416666666,11.47363388888889,MB>Inner,22.5,0.079,685.049,-7.984,-9.315,1.71267612039,2.50288346483,16.12,135.07,2.002959698,1.345609384,0.693497907,-0.006627683,0.007793382,0.002745131,2459910.0
13,49994,2000 AR9,18.820329999999995,11.614758888888888,MB>Inner,19.3,0.0,693.622,-12.1426,-3.186,1.59851400509,2.39556376585,16.78,135.33,1.895401431,1.317497105,0.671860512,-0.007122081,0.006962928,0.003907118,2459910.0
14,,2022 ST152,18.67299208333333,11.587022222222222,MB>Middle,21.8,0.041,699.656,-6.0141,-14.209,1.74814033209,2.53786340566,15.86,135.18,2.037606103,1.358755495,0.707039717,-0.007922182,0.007756128,0.001453654,2459910.0
