,Number,Name,RA,DEC,Type,V,posunc,centerdist,RA_rate,DEC_rate,geodist,heliodist,alpha,elong,x,y,z,vx,vy,vz,epoch
0,,15P,112.03607874999999,30.1138075,Comet,17.7,0.48,62.057,-0.0883,-8.934,2.2232839426,2.87962683806,17.09,121.74,-1.618175976,1.978018428,1.196542639,-0.011031131,0.001478196,0.001212656,2459640.0
1,,2012 QQ66,112.07899041666666,30.142644166666667,MB>Middle,23.1,5.555,136.197,-3.8397,-13.87,2.27820397919,2.93247346035,16.77,121.77,-1.655423083,2.049169766,1.254332234,-0.008187215,-0.002909829,-0.003334592,2459640.0
2,64280,2001 TC235,112.06342291666667,30.05571972222222,MB>Inner,19.8,0.062,199.18,10.0387,-2.287,1.47730038228,2.17856036239,22.87,121.78,-1.385382132,1.432162759,0.836580824,-0.009772105,-0.006523335,-0.001183648,2459640.0
3,136770,1996 PC1,112.05442,30.18921027777778,NEA>Apollo,23.3,0.096,282.884,7.2746,-45.583,1.20567737129,1.93107337814,26.04,121.74,-1.285979098,1.175855583,0.725215373,-0.011436407,-0.000718397,-0.004616525,2459640.0
4,96186,1990 SF8,111.98664958333333,30.037268055555558,MB>Inner,19.0,0.042,340.585,12.5057,-11.678,1.43997417038,2.14364892627,23.29,121.72,-1.366931356,1.397237707,0.824980529,-0.010531205,-0.00561435,-0.002344929,2459640.0
5,,2015 XZ461,112.16650916666666,30.069801666666667,MB>Outer,23.3,1.449,375.255,-3.267,-1.156,2.82974717583,3.46507754372,14.11,121.86,-1.841453065,2.496883876,1.507285465,-0.007765366,-0.003781798,-9.9785e-05,2459640.0
6,,2017 HR6,112.0426925,30.23776527777778,MB>Outer,21.3,0.028,459.433,0.2478,-5.824,2.28792321701,2.94116132299,16.73,121.72,-1.657652349,2.076429255,1.257931176,-0.008038791,-0.006138956,-0.002625755,2459640.0
7,,2017 DQ132,112.15132291666666,30.000016666666667,Mars-Crosser,21.8,0.634,497.429,12.6682,-46.06,1.0522587333,1.79574788687,28.14,121.87,-1.246540258,1.084277471,0.657856312,-0.010182037,-0.005404289,-0.006593409,2459640.0
8,607370,2000 WM64,112.22547791666665,30.159550277777775,MB>Middle,22.2,0.172,557.249,5.5258,-2.767,1.82872952868,2.50703427363,19.71,121.89,-1.504412171,1.704543193,1.013583022,-0.009541949,-0.005576784,-0.000908864,2459640.0
9,,2023 JZ14,112.25477458333332,30.106065833333336,MB>Middle,23.0,6.306,620.298,-3.7191,-9.825,2.17140232598,2.83221908845,17.35,121.93,-1.63184011,1.977654773,1.200288775,-0.007331539,-0.005329715,-0.003454021,2459640.0
10,,2011 UF450,111.95666833333333,30.2999875,MB>Middle,23.2,0.07,748.015,-6.3753,-3.509,2.42752924178,3.07403119263,16.0,121.63,-1.712266603,2.187379088,1.328610306,-0.006048933,-0.006022792,-0.002334134,2459640.0
11,,2003 WU202,111.95404208333332,29.911159444444444,MB>Inner,22.2,0.916,784.903,8.6197,-12.91,1.58693763393,2.27928826253,21.82,121.72,-1.416023137,1.511886016,0.896400041,-0.010275264,-0.004815432,-0.002489961,2459640.0
12,156056,2001 SN56,112.02157666666665,29.883680555555554,MB>Inner,19.2,0.046,823.939,9.6554,-5.868,1.5672245028,2.26166718968,21.98,121.78,-1.414851329,1.50783442,0.883398202,-0.009718886,-0.006685694,-0.002098324,2459640.0
13,29717,1999 AC8,111.90121499999998,30.32193722222222,MB>Inner,18.5,0.096,899.719,8.4391,-13.097,1.33579813544,2.04711351765,24.5,121.58,-1.341822486,1.326156142,0.789398393,-0.008758653,-0.00793371,-0.004020245,2459640.0
14,,2016 UK249,111.8570175,29.92161638888889,MB>Middle,22.2,0.082,920.057,1.2154,-2.61,2.24036837652,2.89473904346,17.02,121.64,-1.631388127,2.031971736,1.207965484,-0.009181489,-0.003886073,-0.000243179,2459640.0
15,,2020 OQ1,111.86143416666665,29.905536666666666,Mars-Crosser,26.0,30.185,954.902,-7.7178,-7.123,3.04456072255,3.67101572643,13.33,121.64,-1.905790322,2.662434164,1.616212823,-0.006893678,-0.001312035,-0.001480443,2459640.0
16,,2011 FR19,112.23107583333332,29.887343333333334,MB>Outer,23.1,5.687,972.259,-1.1651,-4.017,2.06717262165,2.73333074395,18.0,121.96,-1.601141517,1.915816399,1.140211959,-0.006925817,-0.008071702,-0.003302027,2459640.0
17,293147,2006 YK5,111.94882499999999,29.846555277777778,MB>Inner,21.2,0.133,1007.398,0.2501,-2.1,1.84787240501,2.52332724331,19.61,121.73,-1.517016938,1.735989498,1.020998068,-0.007736415,-0.006905663,-0.001926584,2459640.0
