,Number,Name,RA,DEC,Type,V,posunc,centerdist,RA_rate,DEC_rate,geodist,heliodist,alpha,elong,x,y,z,vx,vy,vz,epoch
0,,2012 QQ66,112.05231624999999,30.04694027777778,MB>Middle,23.1,5.555,23.633,-2.8613,-13.935,2.29152998374,2.9336518029,16.95,120.75,-1.655423083,2.049169766,1.254332234,-0.008187215,-0.002909829,-0.003334592,2459640.0
1,,15P,112.03912708333333,30.052073888888888,Comet,17.7,0.48,60.13,0.8603,-9.002,2.24354009913,2.88766366109,17.23,120.74,-1.618175976,1.978018428,1.196542639,-0.011031131,0.001478196,0.001212656,2459640.0
2,,2015 XZ461,112.14366625,30.061240277777777,MB>Outer,23.3,1.449,268.361,-2.4728,-1.33,2.84394949106,3.46646768107,14.27,120.83,-1.841453065,2.496883876,1.507285465,-0.007765366,-0.003781798,-9.9785e-05,2459640.0
3,64280,2001 TC235,112.147955,30.03895027777778,MB>Inner,19.8,0.062,282.445,11.2248,-2.584,1.48910069202,2.18011231558,23.11,120.84,-1.385382132,1.432162759,0.836580824,-0.009772105,-0.006523335,-0.001183648,2459640.0
4,96186,1990 SF8,112.09062041666667,29.95636888888889,MB>Inner,19.0,0.042,354.812,13.6602,-11.825,1.45216781587,2.14592807251,23.51,120.81,-1.366931356,1.397237707,0.824980529,-0.010531205,-0.00561435,-0.002344929,2459640.0
5,,2017 HR6,112.04834,30.19708222222222,MB>Outer,21.3,0.028,527.224,1.1738,-5.994,2.29889154929,2.94023791709,16.92,120.71,-1.657652349,2.076429255,1.257931176,-0.008038791,-0.006138956,-0.002625755,2459640.0
6,,2023 JZ14,112.22919499999999,30.037951944444448,MB>Middle,23.0,6.306,534.36,-2.7085,-9.964,2.18235933559,2.8312112762,17.56,120.9,-1.63184011,1.977654773,1.200288775,-0.007331539,-0.005329715,-0.003454021,2459640.0
7,136770,1996 PC1,112.11764041666666,29.87803027777778,NEA>Apollo,23.3,0.096,649.163,8.633,-44.83,1.22096117835,1.93670874662,26.23,120.85,-1.285979098,1.175855583,0.725215373,-0.011436407,-0.000718397,-0.004616525,2459640.0
8,29717,1999 AC8,111.97382874999998,30.231121388888887,MB>Inner,18.5,0.096,700.196,9.7834,-13.287,1.34456239904,2.04619327419,24.78,120.64,-1.341822486,1.326156142,0.789398393,-0.008758653,-0.00793371,-0.004020245,2459640.0
9,607370,2000 WM64,112.27362624999998,30.139674166666666,MB>Middle,22.2,0.172,742.737,6.5752,-3.007,1.84147751862,2.50868474176,19.91,120.92,-1.504412171,1.704543193,1.013583022,-0.009541949,-0.005576784,-0.000908864,2459640.0
10,156056,2001 SN56,112.10274624999998,29.842485,MB>Inner,19.2,0.046,762.918,10.8001,-6.1,1.57843078939,2.262557594,22.21,120.84,-1.414851329,1.50783442,0.883398202,-0.009718886,-0.006685694,-0.002098324,2459640.0
11,,2016 UK249,111.87034666666666,29.90298972222222,MB>Middle,22.2,0.082,792.024,2.1458,-2.801,2.2548147156,2.89716899492,17.2,120.63,-1.631388127,2.031971736,1.207965484,-0.009181489,-0.003886073,-0.000243179,2459640.0
12,,2003 WU202,112.02691999999999,29.821929444444443,MB>Inner,22.2,0.916,830.079,9.7465,-13.014,1.59968395146,2.28160780771,22.03,120.78,-1.416023137,1.511886016,0.896400041,-0.010275264,-0.004815432,-0.002489961,2459640.0
13,293147,2006 YK5,111.95523666666665,29.831255555555554,MB>Inner,21.2,0.133,853.641,1.3696,-2.343,1.8583916964,2.52241577539,19.84,120.72,-1.517016938,1.735989498,1.020998068,-0.007736415,-0.006905663,-0.001926584,2459640.0
14,,2011 FR19,112.22588624999999,29.858955,MB>Outer,23.1,5.687,866.273,-0.1389,-4.229,2.07578994588,2.73030549827,18.22,120.94,-1.601141517,1.915816399,1.140211959,-0.006925817,-0.008071702,-0.003302027,2459640.0
15,,2011 UF450,111.90956833333333,30.275190555555554,MB>Middle,23.2,0.07,930.897,-5.4374,-3.694,2.43810019463,3.07200737285,16.19,120.58,-1.712266603,2.187379088,1.328610306,-0.006048933,-0.006022792,-0.002334134,2459640.0
16,222420,2001 KW27,112.33312166666666,29.937205833333334,MB>Inner,21.6,0.071,949.376,-4.5332,-4.336,2.24892868506,2.89600641053,17.13,121.01,-1.662139087,2.032916158,1.220066478,-0.006728115,-0.005524839,-0.002101543,2459640.0
