,Number,Name,RA,DEC,Type,V,posunc,centerdist,RA_rate,DEC_rate,geodist,heliodist,alpha,elong,x,y,z,vx,vy,vz,epoch
0,,15P,112.05154041666665,30.230358055555556,Comet,17.7,0.48,62.681,-1.9455,-8.791,2.18496606817,2.86423113532,16.8,123.67,-1.618175976,1.978018428,1.196542639,-0.011031131,0.001478196,0.001212656,2459640.0
1,607370,2000 WM64,112.15691208333332,30.19284138888889,MB>Middle,22.2,0.172,294.129,3.4897,-2.293,1.80472075317,2.5038825201,19.29,123.77,-1.504412171,1.704543193,1.013583022,-0.009541949,-0.005576784,-0.000908864,2459640.0
2,,2017 HR6,112.05248583333332,30.312152222222224,MB>Outer,21.3,0.028,309.239,-1.5314,-5.486,2.26734704493,2.94293311821,16.34,123.65,-1.657652349,2.076429255,1.257931176,-0.008038791,-0.006138956,-0.002625755,2459640.0
3,,2011 UF450,112.06749666666666,30.343719999999998,MB>Middle,23.2,0.07,417.376,-8.1716,-3.139,2.40772157859,3.07787657959,15.6,123.66,-1.712266603,2.187379088,1.328610306,-0.006048933,-0.006022792,-0.002334134,2459640.0
4,,2012 QQ66,112.15181958333332,30.324129444444445,MB>Middle,23.1,5.555,427.278,-5.7286,-13.73,2.25314029707,2.93020586903,16.4,123.73,-1.655423083,2.049169766,1.254332234,-0.008187215,-0.002909829,-0.003334592,2459640.0
5,64280,2001 TC235,111.928445,30.0819675,MB>Inner,19.8,0.062,688.468,7.7256,-1.701,1.45506421609,2.17559489255,22.41,123.61,-1.385382132,1.432162759,0.836580824,-0.009772105,-0.006523335,-0.001183648,2459640.0
6,,2014 YE94,112.28601041666666,30.175822500000002,MB>Inner,22.3,0.105,693.245,6.008,-3.824,1.44747403601,2.17126808479,22.38,123.88,-1.392610363,1.426323408,0.839499662,-0.009125206,-0.007485749,-0.002229829,2459640.0
7,,2015 XZ461,112.22776749999998,30.08276777777778,MB>Outer,23.3,1.449,713.73,-4.7926,-0.813,2.80302031321,3.46241070058,13.79,123.86,-1.841453065,2.496883876,1.507285465,-0.007765366,-0.003781798,-9.9785e-05,2459640.0
8,,2023 JZ14,112.32614166666666,30.233429444444447,MB>Middle,23.0,6.306,792.368,-5.6624,-9.543,2.15084998973,2.83413240825,16.94,123.9,-1.63184011,1.977654773,1.200288775,-0.007331539,-0.005329715,-0.003454021,2459640.0
9,96186,1990 SF8,111.81369124999999,30.188918611111113,MB>Inner,19.0,0.042,814.157,10.2473,-11.384,1.41699104652,2.13929849435,22.84,123.48,-1.366931356,1.397237707,0.824980529,-0.010531205,-0.00561435,-0.002344929,2459640.0
10,325867,2010 TB142,112.21460749999999,30.427854722222225,MB>Outer,20.9,0.082,846.357,-2.0396,-2.18,2.49650261111,3.164605295,15.14,123.76,-1.733324012,2.245092199,1.367429108,-0.008772009,-0.003897461,-0.000273972,2459640.0
11,,2020 OQ1,111.99015666666665,29.99786277777778,Mars-Crosser,26.0,30.185,865.767,-9.2427,-6.916,3.01579518531,3.6671862875,13.04,123.68,-1.905790322,2.662434164,1.616212823,-0.006893678,-0.001312035,-0.001480443,2459640.0
12,,2003 WU202,111.83984958333332,30.079541388888888,MB>Inner,22.2,0.916,897.156,6.4206,-12.697,1.56291633261,2.27485444205,21.39,123.53,-1.416023137,1.511886016,0.896400041,-0.010275264,-0.004815432,-0.002489961,2459640.0
13,407068,2009 SF173,111.82518833333332,30.36857138888889,MB>Outer,21.5,0.033,918.022,-4.9629,-9.022,2.54062672751,3.20361369643,15.01,123.45,-1.740116386,2.289918996,1.400842623,-0.007489158,-0.00452374,-0.003264673,2459640.0
