,Number,Name,RA,DEC,Type,V,posunc,centerdist,RA_rate,DEC_rate,geodist,heliodist,alpha,elong,x,y,z,vx,vy,vz,epoch
0,,2016 TN132,156.99659291666663,30.225961666666667,MB>Middle,21.3,0.058,85.6,-31.5825,3.323,1.61823538062,2.55963801793,9.53,154.79,-2.218999687,0.824811959,0.935568479,-0.006295689,-0.008243295,-0.003623175,2459640.0
1,143215,2002 YE1,157.06051416666665,30.120335277777777,MB>Middle,18.6,0.059,454.834,-26.9873,11.93,1.59137316929,2.53370488326,9.59,154.91,-2.201536662,0.819341541,0.915219634,-0.005739243,-0.009514748,-0.002392712,2459640.0
2,,2008 SP183,157.11428416666666,30.424865555555556,MB>Outer,23.0,0.087,864.264,-27.2857,3.233,2.97014842831,3.89831769691,6.27,154.63,-3.299052276,1.264387736,1.624737636,-0.004095154,-0.005394261,-0.003560181,2459640.0
3,,2020 QP48,156.73967333333331,30.085283055555553,MB>Middle,23.2,48.915,864.984,-31.9624,4.211,2.25695837399,3.19151445602,7.61,154.84,-2.729372766,1.041626973,1.250235178,-0.005343919,-0.00596589,-0.00303842,2459640.0
