,Number,Name,RA,DEC,Type,V,posunc,centerdist,RA_rate,DEC_rate,geodist,heliodist,alpha,elong,x,y,z,vx,vy,vz,epoch
0,,67P,126.68935166666667,25.799564444444446,Comet,11.5,0.4,16.749,16.9297,-15.81,1.09517884392,1.92619186864,22.15,133.28,-1.444249606,1.007052924,0.568060503,-0.014322654,-0.005057179,-0.001886942,2459640.0
1,,2015 PQ322,126.64009874999999,25.84018722222222,MB>Middle,22.3,0.155,214.03,-12.3612,-4.569,2.15984119921,2.93891507473,14.3,133.22,-2.077396608,1.782790479,1.044702293,-0.006879465,-0.005939503,-0.00333634,2459640.0
2,,2014 UR183,126.65951791666666,25.727266388888886,MB>Inner,22.0,0.09,294.096,-4.6385,-1.861,1.38547587208,2.19764747834,19.29,133.28,-1.646454724,1.237245162,0.697437122,-0.008853014,-0.007393541,-0.002450029,2459640.0
3,,2014 DS161,126.61297958333333,25.875100833333335,MB>Middle,21.8,0.06,363.465,-9.0802,10.182,1.66087950839,2.45839011138,17.19,133.19,-1.815031967,1.4509169,0.811472895,-0.006171917,-0.009224657,-0.001370322,2459640.0
4,,2016 PN136,126.7109225,25.912932777777776,MB>Middle,23.1,0.301,398.609,-11.9864,-2.803,2.16592301071,2.94513465188,14.26,133.26,-2.073703801,1.775212154,1.039421926,-0.007835979,-0.00482018,-0.002119204,2459640.0
5,,2015 TR373,126.82579041666663,25.80049,MB>Outer,22.2,0.136,433.494,-8.5435,4.159,2.19006627703,2.96980420225,14.1,133.4,-2.095042445,1.809525724,1.03763222,-0.007357637,-0.006899939,-0.001129866,2459640.0
6,158827,2003 WM146,126.54970041666665,25.832346944444446,MB>Outer,19.8,0.052,472.946,-10.3336,4.911,2.69839993206,3.46246734999,12.11,133.15,-2.356590652,2.162139394,1.246793895,-0.007680394,-0.00456015,0.000429934,2459640.0
7,381418,2008 KQ29,126.55776208333333,25.8610875,MB>Inner,21.6,0.056,482.069,-10.9113,2.863,1.87335705402,2.66165798074,15.85,133.15,-1.919916412,1.585550557,0.906462779,-0.007077815,-0.006908353,-0.001690918,2459640.0
8,,2009 SG408,126.75842749999998,25.927615,MB>Inner,21.9,0.096,495.768,-7.8398,-6.689,1.63243510351,2.43213973839,17.35,133.29,-1.778467869,1.399695297,0.813318755,-0.008972664,-0.005955859,-0.00287628,2459640.0
9,,2007 TE162,126.72948041666666,25.65769,MB>Middle,21.9,0.218,538.794,-11.338,-2.285,2.17527522733,2.95515873476,14.18,133.36,-2.08128959,1.786528075,1.034543945,-0.007890456,-0.005004571,-0.002092013,2459640.0
10,,2008 SM345,126.71377166666664,25.95406611111111,MB>Middle,24.5,3.45,546.523,-13.7952,-1.591,2.32804701229,3.10236033693,13.52,133.25,-2.16688899,1.88969115,1.110216139,-0.007080205,-0.004621344,-0.001941851,2459640.0
11,485341,2011 CO4,126.50652249999999,25.836242777777777,MB>Outer,21.0,0.065,612.766,-12.5291,-8.938,2.21103944353,2.98748463952,14.08,133.11,-2.104266498,1.824684415,1.079482762,-0.006517749,-0.006188411,-0.00481178,2459640.0
12,,2014 OX95,126.51388583333332,25.890715555555555,MB>Outer,22.8,0.082,657.166,-14.5045,-3.935,3.10893688655,3.86422262911,10.84,133.1,-2.589832843,2.450768636,1.457810386,-0.005861837,-0.003620852,-0.003003439,2459640.0
13,,2014 MF72,126.7912520833333,25.965493055555555,MB>Outer,22.1,0.12,665.734,-11.6034,2.502,2.79040358861,3.55403957197,11.76,133.31,-2.417423816,2.219568177,1.300592325,-0.00712425,-0.004505075,-0.000493168,2459640.0
14,,2009 HJ124,126.51179208333333,25.90763472222222,MB>Inner,23.0,0.203,694.01,-15.5943,-0.27,2.0601024418,2.84119031518,14.83,133.09,-2.02880086,1.715138226,0.996644996,-0.005841524,-0.00625566,-0.002541874,2459640.0
15,,2007 TV484,126.85304791666664,25.947497777777777,MB>Middle,22.4,0.148,735.198,-14.7238,-7.707,2.36070121643,3.13525655001,13.35,133.37,-2.184441772,1.900600983,1.13536154,-0.007570149,-0.00349644,-0.003240501,2459640.0
16,,2017 BA195,126.84795041666665,25.963284444444444,MB>Outer,22.0,0.085,765.301,-10.2972,4.175,2.28533019942,3.06190173922,13.68,133.36,-2.153902118,1.87879911,1.087961413,-0.006354904,-0.007299184,-0.00148629,2459640.0
17,103777,2000 DG5,126.89133291666666,25.67243388888889,MB>Middle,19.7,0.033,800.109,-12.4,-3.168,2.11922436282,2.90209211302,14.42,133.49,-2.065308415,1.753800164,1.019903956,-0.00671773,-0.006310847,-0.003159354,2459640.0
18,,2015 OZ147,126.61609208333333,26.02146833333333,Hungaria,20.9,0.052,822.319,-10.7529,-41.337,0.97209132143,1.81191237862,23.7,133.14,-1.424213231,0.933873931,0.563121914,-0.008735809,-0.006957899,-0.007164659,2459640.0
19,,2016 TH86,126.68511666666664,25.574880277777776,MB>Middle,23.2,1.581,823.396,-15.6225,-6.979,2.40070956723,3.17404202006,13.19,133.35,-2.208980219,1.938862718,1.139152276,-0.007102605,-0.003526842,-0.003282757,2459640.0
20,507189,2010 RC78,126.57104749999999,26.009823611111113,MB>Inner,22.0,0.043,839.793,-13.5174,-3.567,1.79439317574,2.58546619745,16.34,133.11,-1.878466796,1.522748473,0.888001045,-0.006877191,-0.006450881,-0.003065925,2459640.0
21,,2016 PC200,126.44875666666665,25.92361277777778,MB>Middle,21.7,0.217,899.03,-10.4566,-14.249,1.7282512022,2.52144469275,16.79,133.03,-1.824645424,1.465812164,0.867483239,-0.008805395,-0.005031562,-0.004327455,2459640.0
22,180361,2003 YS93,126.46994541666663,25.961675,MB>Inner,19.9,0.018,917.526,-3.0098,-0.44,1.35389918958,2.1659705418,19.66,133.04,-1.628472549,1.223403126,0.690519335,-0.008427998,-0.008385378,-0.002658691,2459640.0
23,413211,2003 GD28,126.46280291666665,25.646312777777776,MB>Inner,20.9,0.324,934.465,-13.8027,-8.274,1.4766451323,2.28270826606,18.58,133.14,-1.712871644,1.310362086,0.75317816,-0.006435953,-0.007847655,-0.00456535,2459640.0
24,529078,2009 QS39,126.48562624999998,25.622273333333332,MB>Inner,23.0,0.095,934.962,-17.0676,-4.721,2.05177499735,2.8338304871,14.85,133.17,-2.028892091,1.71179204,0.994522348,-0.005539728,-0.006091808,-0.003795502,2459640.0
25,,2020 RQ122,126.42417208333332,25.904713055555554,MB>Middle,22.5,0.08,941.309,-10.6985,-11.364,1.92913460774,2.71417790252,15.57,133.02,-1.934445894,1.611191161,0.95232704,-0.008444642,-0.004974474,-0.004055255,2459640.0
