,Number,Name,RA,DEC,Type,V,posunc,centerdist,RA_rate,DEC_rate,geodist,heliodist,alpha,elong,x,y,z,vx,vy,vz,epoch
0,,2020 SD89,135.34656208333334,3.2936091666666667,MB>Outer,21.4,0.107,148.532,-13.9363,15.779,1.82016900339,2.7114040093,11.77,146.27,-2.207672695,1.522615731,0.207533538,-0.007605349,-0.007685002,-0.002900716,2459640.0
1,388188,2006 DP14,135.34772541666666,3.3408708333333337,NEA>Apollo,18.3,0.151,174.107,-41.5502,32.973,0.47017888971,1.41734315189,23.04,146.28,-1.199844169,0.536306095,0.138253387,-0.014498937,-0.00237387,-0.003890778,2459640.0
2,,2020 OH7,135.3554108333333,3.358148888888889,Mars-Crosser,23.3,0.763,204.017,-21.9785,28.65,2.21814798165,3.10209697479,10.26,146.29,-2.506436589,1.788195809,0.202180882,-0.005466534,-0.005948414,0.001147662,2459640.0
3,97176,1999 VV210,135.52613291666665,3.300559444444444,MB>Outer,19.2,0.058,509.47,-19.067,10.214,2.06838142473,2.95600071829,10.73,146.45,-2.406064075,1.692199285,0.229473351,-0.005264953,-0.007705514,-0.003883396,2459640.0
4,,2020 UC18,135.3016066666667,3.1568516666666664,MB>Outer,22.0,0.155,625.656,-17.2432,12.447,2.12620429252,3.01123059786,10.6,146.22,-2.436381099,1.736742228,0.222595258,-0.005953849,-0.00743915,-0.003239961,2459640.0
5,451368,2010 XA79,135.36460041666666,3.1250691666666666,MB>Outer,21.2,0.048,668.157,-17.7817,12.355,2.11708828118,3.00268720574,10.61,146.28,-2.430171558,1.726198663,0.221071656,-0.00614189,-0.007104435,-0.003259839,2459640.0
6,,2006 HQ157,135.31272791666666,3.5731072222222218,MB>Outer,20.7,0.051,983.284,-14.6115,17.599,1.86828513743,2.75840171804,11.57,146.25,-2.250386995,1.563907173,0.216158515,-0.006319864,-0.00862907,-0.002473937,2459640.0
7,481590,2007 TJ169,135.56201083333332,3.5183016666666664,MB>Middle,21.2,0.153,985.268,-17.2642,15.812,1.80537045519,2.69839612697,11.76,146.5,-2.202416216,1.501051465,0.213438206,-0.007501632,-0.006885659,-0.002858901,2459640.0
8,514239,2015 OL88,135.12171375,3.2294352777777777,MB>Middle,21.5,0.048,988.161,-21.1174,9.826,2.01080696711,2.89671968776,11.07,146.04,-2.355196558,1.657891279,0.224755198,-0.005267908,-0.007145787,-0.00402649,2459640.0
