,Number,Name,RA,DEC,Type,V,posunc,centerdist,RA_rate,DEC_rate,geodist,heliodist,alpha,elong,x,y,z,vx,vy,vz,epoch
0,,9P,342.92122666666666,-27.89169888888889,Comet,15.2,0.32,230.962,-34.4469,-13.758,1.2036025413,2.17343152868,9.17,159.91,1.846104338,-0.833377433,-0.786560714,0.010861978,0.007557895,0.001797748,2459810.0
1,28969,Youngminjeongahn,342.889215,-27.95654111111111,MB>Middle,16.8,0.006,259.18,-21.9399,-31.222,1.02629486157,1.99850091574,9.99,159.88,1.700809765,-0.792929378,-0.704853517,0.007595794,0.010864493,0.001927715,2459810.0
2,244305,2002 GY78,342.98551875,-28.109138611111113,MB>Inner,20.4,0.038,888.006,-29.855,-20.133,1.64300697656,2.60741661212,7.71,159.71,2.223740933,-0.946210922,-0.998771539,0.005346206,0.008330883,0.002534219,2459810.0
