,Number,Name,RA,DEC,Type,V,posunc,centerdist,RA_rate,DEC_rate,geodist,heliodist,alpha,elong,x,y,z,vx,vy,vz,epoch
0,,162P,186.86292666666662,22.489089444444446,Comet,21.2,0.29,7.824,-32.3281,10.153,2.87864830705,3.80754374959,6.43,154.6,-3.573643561,-0.075969349,1.212095726,-0.005507318,-0.004624425,-0.003061605,2459640.0
1,,2012 UF225,186.92320749999996,22.49339666666667,MB>Middle,21.2,0.267,194.228,-26.6912,22.355,1.59896978408,2.53993262088,9.7,154.55,-2.42166085,0.09477045,0.725712207,-0.001693957,-0.010039263,-0.003563214,2459640.0
2,308296,2005 JA103,186.93630874999997,22.457082222222223,MB>Middle,19.9,0.192,262.122,-24.9901,21.649,1.70123654669,2.64084257968,9.32,154.56,-2.522419333,0.082283679,0.765783636,-0.000529222,-0.009920341,-0.003906316,2459640.0
3,,2014 HY213,186.88526749999997,22.674388055555557,MB>Middle,21.1,0.362,673.549,-39.5356,1.988,1.41892915587,2.36229673959,10.47,154.46,-2.245287513,0.10806796,0.681136062,-0.003401001,-0.008666142,-0.007086722,2459640.0
4,,2015 XE190,186.63966208333332,22.424688333333336,MB>Middle,20.5,0.03,784.085,-25.2974,21.621,1.88628064446,2.82473746962,8.63,154.8,-2.6928983,0.067296917,0.83239876,-0.000646227,-0.009354099,-0.003370656,2459640.0
5,486882,2014 KU58,187.1022875,22.317793333333334,MB>Middle,20.5,0.199,999.869,-24.6811,23.162,1.67271031338,2.61254697638,9.43,154.53,-2.498161423,0.081461321,0.75008534,-0.000370295,-0.010030325,-0.003723407,2459640.0
