,Number,Name,RA,DEC,Type,V,posunc,centerdist,RA_rate,DEC_rate,geodist,heliodist,alpha,elong,x,y,z,vx,vy,vz,epoch
0,,7P,57.22623833333332,1.7357594444444444,Comet,23.0,0.51,70.519,-30.3312,-1.038,3.46911936736,4.41344502752,4.02,161.72,2.3911239,3.663552028,0.425478838,-0.001922493,0.005819861,0.003211491,2459900.0
1,357893,2005 UT519,57.416386666666654,1.6733688888888887,MB>Outer,20.5,0.03,653.933,-30.2317,-3.262,2.03841866804,2.98776202757,5.96,161.66,1.647453974,2.469133505,0.382531304,-0.008436479,0.005076436,0.002741276,2459900.0
2,464852,2005 FZ12,57.44979333333332,1.85308,MB>Inner,21.4,0.058,846.173,-35.6343,-7.596,1.90458557832,2.85534129881,6.18,161.84,1.570425686,2.358095118,0.389554745,-0.007714474,0.004858197,0.00184372,2459900.0
3,47651,2000 CV42,56.99937458333332,1.7343294444444446,MB>Outer,19.0,0.019,886.872,-31.4597,-9.2,1.94980332683,2.89983174374,6.12,161.72,1.610955496,2.385436195,0.389201814,-0.008307577,0.005320817,0.001440031,2459900.0
4,,2017 FD49,56.97993833333333,1.7123636111111111,MB>Inner,22.6,0.509,960.598,-38.9171,-8.21,1.52126999728,2.4741122823,7.19,161.7,1.381948084,2.029297565,0.372259411,-0.008980363,0.004739043,0.002060575,2459900.0
5,395672,2011 WD117,56.992877083333326,1.8344947222222223,Trojan,19.8,0.026,976.726,-24.9242,4.812,4.00845133165,4.95199022534,3.57,161.82,2.712441884,4.126272467,0.43477882,-0.004818398,0.002456758,0.005743932,2459900.0
6,531856,2013 AJ56,57.47389374999999,1.578116388888889,MB>Outer,21.5,0.07,998.458,-32.4552,1.819,2.33805457565,3.28554808677,5.45,161.56,1.800886158,2.730568834,0.380517603,-0.007370137,0.003666613,0.003986405,2459900.0
7,581746,2015 KP112,57.081877083333325,1.5086616666666666,MB>Outer,21.4,0.04,1009.169,-32.8907,2.133,2.22538762934,3.17311648338,5.66,161.5,1.750688398,2.620451186,0.374197182,-0.006915125,0.004938398,0.004081245,2459900.0
