,Number,Name,RA,DEC,Type,V,posunc,centerdist,RA_rate,DEC_rate,geodist,heliodist,alpha,elong,x,y,z,vx,vy,vz,epoch
0,,73P-C,156.5987075,30.362993055555556,Comet,16.1,0.7,17.773,-47.6011,20.681,1.358496963,2.30274798079,10.72,154.52,-2.040888899,0.751939472,0.816375328,0.003119288,-0.010571359,-0.006130522,2459640.0
1,49947,1999 XY204,156.45719499999998,30.331973055555554,MB>Middle,18.3,0.107,450.197,-32.7297,4.677,1.69441345815,2.63342571229,9.36,154.5,-2.28186206,0.864234828,0.980525472,-0.003676878,-0.00878975,-0.004761845,2459640.0
2,,2011 KE48,156.57010375,30.196925,MB>Inner,21.3,0.18,619.097,-29.8685,18.027,1.50861086733,2.4510539394,10.01,154.66,-2.137448481,0.803181199,0.875585767,-0.003703763,-0.010101336,-0.002476399,2459640.0
3,,2020 UZ32,156.36962166666663,30.28077611111111,MB>Outer,22.4,5.191,769.986,-28.6055,5.152,2.20046635768,3.13387010028,7.85,154.52,-2.67757579,1.036416475,1.229091572,-0.004926785,-0.007286262,-0.003267606,2459640.0
4,,2010 BE103,156.53636041666664,30.591539722222223,MB>Outer,21.6,0.055,827.908,-29.4454,1.204,2.46391622803,3.39370898767,7.31,154.28,-2.882692249,1.115152014,1.376638686,-0.00480159,-0.006130971,-0.004176445,2459640.0
5,298207,2002 TT311,156.42540583333331,30.57039361111111,MB>Middle,20.9,0.072,902.604,-30.4498,6.385,2.24396728344,3.17561568337,7.82,154.27,-2.711361774,1.046744607,1.261242118,-0.003823444,-0.007087466,-0.00339179,2459640.0
