,Number,Name,RA,DEC,Type,V,posunc,centerdist,RA_rate,DEC_rate,geodist,heliodist,alpha,elong,x,y,z,vx,vy,vz,epoch
0,,137P,172.8035425,-2.2491530555555554,Comet,24.6,0.3,37.761,-17.9539,7.911,5.56774204837,6.56473514716,0.97,173.6,-6.474247521,0.890279506,-0.135208373,-0.002551489,-0.003972988,-0.001670974,2459640.0
1,,2015 RH78,172.79584083333333,-2.2910719444444445,MB>Middle,21.2,0.019,148.711,-32.4998,11.05,1.57844081271,2.57688436247,2.48,173.56,-2.526901023,0.446873526,0.049284578,-0.001937461,-0.009744985,-0.004695607,2459640.0
2,64424,2001 VK1,172.76955083333334,-2.2090680555555555,MB>Middle,19.1,0.014,223.921,-30.6018,12.492,1.94930502154,2.94754694459,2.14,173.65,-2.892764951,0.484624518,0.029683481,-0.002073099,-0.008753273,-0.003909948,2459640.0
3,420657,2012 JA25,172.88407,-2.2263494444444447,MB>Outer,20.9,0.219,273.459,-27.4974,18.367,1.87799774362,2.87622785034,2.21,173.6,-2.84702235,0.48399167,0.019529777,0.000475227,-0.010009108,-0.002623819,2459640.0
4,490324,2009 BF142,172.66610416666666,-2.2350844444444444,MB>Middle,21.4,0.024,532.873,-37.3478,8.564,1.70975578051,2.70819016906,2.33,173.65,-2.633530322,0.450088194,0.049834731,-0.004330475,-0.007968103,-0.005126986,2459640.0
5,,2018 KF23,172.73667166666664,-2.3828333333333336,MB>Middle,21.6,63.203,540.591,-27.0908,24.378,1.40373043772,2.40227228641,2.7,173.49,-2.355771125,0.441639597,0.03507859,-0.001724977,-0.011324813,-0.002720604,2459640.0
6,210842,2001 QJ126,172.9246925,-2.1237733333333333,MB>Middle,20.4,0.369,615.956,-30.583,18.266,1.86672266404,2.86506969728,2.19,173.69,-2.836384227,0.475181486,0.02382265,0.000500123,-0.009371244,-0.002677274,2459640.0
7,621322,2008 RX125,172.98530583333334,-2.212683888888889,MB>Outer,21.9,0.124,636.741,-28.0987,10.933,2.33899461756,3.33689430593,1.91,173.58,-3.283112422,0.518414524,0.013071083,-0.001729176,-0.008085492,-0.003761195,2459640.0
8,288147,2003 WR108,172.6254183333333,-2.228092777777778,MB>Middle,21.3,0.006,681.262,-32.9527,11.431,2.1299587711,3.1281069253,2.01,173.67,-3.084769525,0.502571501,0.021553316,-0.000633121,-0.007706389,-0.003862943,2459640.0
9,,2013 BU14,172.69872249999997,-2.0943569444444448,MB>Middle,21.2,0.007,705.41,-33.0213,11.744,1.5742587609,2.57296361942,2.4,173.78,-2.518006072,0.447671521,0.053892224,-0.002419968,-0.009603914,-0.004595022,2459640.0
10,,2015 BN615,172.99874541666665,-2.177771111111111,MB>Inner,21.8,0.019,721.423,-41.2081,7.099,1.32014164592,2.31891440429,2.74,173.61,-2.262575335,0.405264134,0.071570327,-0.002921403,-0.009253125,-0.00566625,2459640.0
11,366546,2002 QE114,172.99571541666666,-2.1660741666666667,MB>Outer,22.1,0.187,728.53,-26.2861,12.982,2.65063537142,3.64842993769,1.74,173.62,-3.590784184,0.551335392,-0.006584772,-0.001870084,-0.007606232,-0.002742358,2459640.0
12,384350,2009 UQ1,172.59049541666664,-2.2833125,MB>Inner,21.9,0.023,807.841,-37.8105,11.101,1.72253402894,2.72092489084,2.33,173.63,-2.650919028,0.453165918,0.042706907,-0.003799332,-0.00788534,-0.004587339,2459640.0
13,134912,2000 YC44,173.02370875,-2.341862777777778,MB>Inner,20.2,0.19,821.679,-36.6293,15.289,1.5154134433,2.51377828367,2.59,173.45,-2.461590054,0.427797504,0.044212308,-0.002315889,-0.009201714,-0.004043982,2459640.0
14,472847,2015 FG285,173.0340770833333,-2.1699563888888886,MB>Inner,20.2,0.213,850.014,-35.6109,12.665,1.06798060386,2.06708227576,3.08,173.61,-2.022883089,0.393545552,0.076131633,-0.001910381,-0.011285027,-0.005123494,2459640.0
15,438554,2007 TL294,172.79265041666665,-2.500627777777778,MB>Middle,22.7,0.445,892.596,-30.6623,16.69,2.11606507997,3.1138056333,2.12,173.36,-3.061068543,0.499228706,0.00011401,-0.00170957,-0.008187154,-0.002620411,2459640.0
16,509593,2008 DL35,172.62356166666666,-2.0905119444444447,MB>Inner,20.8,0.035,899.581,-30.2143,22.787,0.98169019593,1.98111595059,3.12,173.8,-1.93056595,0.398800365,0.071062476,-0.002554505,-0.012185849,-0.004111705,2459640.0
17,54459,2000 NX24,172.55537791666666,-2.3092474999999997,MB>Middle,18.4,0.108,948.466,-31.402,11.714,1.62357362694,2.62203227944,2.42,173.61,-2.579229416,0.460774557,0.044870528,-0.001045602,-0.009902092,-0.00447777,2459640.0
18,,2015 HZ247,172.62473375,-2.4465350000000003,MB>Inner,21.4,12.445,970.457,-36.106,6.809,0.96748655601,1.96660332319,3.31,173.46,-1.918366062,0.391268455,0.083086934,-0.00233961,-0.011595664,-0.00593534,2459640.0
19,292521,2006 TW35,172.93668208333332,-2.4945380555555556,MB>Middle,21.8,0.018,974.911,-30.3581,13.552,2.16685497802,3.16451033249,2.09,173.33,-3.12000604,0.500147296,0.004425808,-0.000879571,-0.008183431,-0.003277126,2459640.0
20,321766,2010 OR19,173.09364166666666,-2.2401475,MB>Inner,20.6,0.248,1010.39,-33.096,24.071,1.1791990872,2.17805223369,2.96,173.52,-2.132018765,0.404525192,0.053946178,-0.002011319,-0.011159502,-0.003404661,2459640.0
