,Run,Object,RA,Dec,Equinox,UT,Airm,Instr,Texp sec,Sky PA,Filters etc.,Slit,Grat,CenwA,Comments,night,date,mjd,RA_deg,Dec_deg,search_group
45,1601867,98943,18:03:59.28,-03:22:53.7,2000.0,05:26,1.73,6  WFC,59.5,180.0,R,,,,,20220302,20220303,59641.22638888889,270.99699999999996,-3.3815833333333334,1.0
46,1601868,98943,18:03:59.61,-03:22:54.5,2000.0,05:28,1.71,9  WFC,60.0,180.0,B,,,,,20220302,20220303,59641.22777777778,270.99837499999995,-3.3818055555555557,1.0
47,1601869,98943,18:03:59.83,-03:22:55.0,2000.0,05:30,1.7,8  WFC,60.1,180.0,R,,,,,20220302,20220303,59641.229166666664,270.99929166666664,-3.3819444444444446,1.0
48,1601870,98943,18:04:00.04,-03:22:55.6,2000.0,05:31,1.69,7  WFC,60.1,180.0,V,,,,,20220302,20220303,59641.22986111111,271.00016666666664,-3.382111111111111,1.0
49,1601871,98943,18:04:00.25,-03:22:56.0,2000.0,05:32,1.68,7  WFC,60.1,180.0,R,,,,,20220302,20220303,59641.23055555556,271.00104166666665,-3.3822222222222225,1.0
50,1601872,98943,18:04:00.46,-03:22:56.6,2000.0,05:34,1.67,6  WFC,60.1,180.0,z,,,,,20220302,20220303,59641.231944444444,271.0019166666666,-3.382388888888889,1.0
51,1601873,98943,18:04:00.67,-03:22:56.9,2000.0,05:35,1.66,6  WFC,60.1,180.0,R,,,,,20220302,20220303,59641.23263888889,271.00279166666667,-3.3824722222222223,1.0
52,1601874,98943,18:04:01.13,-03:22:58.1,2000.0,05:38,1.64,5  WFC,60.1,180.0,B,,,,,20220302,20220303,59641.23472222222,271.0047083333333,-3.3828055555555556,1.0
53,1601875,98943,18:04:01.34,-03:22:58.6,2000.0,05:39,1.63,5  WFC,60.1,180.0,R,,,,,20220302,20220303,59641.23541666667,271.0055833333333,-3.3829444444444445,1.0
54,1601876,98943,18:04:01.55,-03:22:59.1,2000.0,05:41,1.62,6  WFC,60.1,180.0,V,,,,,20220302,20220303,59641.236805555556,271.00645833333334,-3.3830833333333334,1.0
55,1601877,98943,18:04:01.76,-03:22:59.6,2000.0,05:42,1.61,6  WFC,60.1,180.0,R,,,,,20220302,20220303,59641.2375,271.0073333333333,-3.3832222222222224,1.0
56,1601878,98943,18:04:01.97,-03:23:00.0,2000.0,05:43,1.6,7  WFC,60.1,180.0,z,,,,,20220302,20220303,59641.23819444444,271.0082083333333,-3.3833333333333333,1.0
57,1601879,98943,18:04:02.19,-03:23:00.6,2000.0,05:45,1.59,8  WFC,60.0,180.0,R,,,,,20220302,20220303,59641.239583333336,271.0091249999999,-3.3835,1.0
58,1601880,98943,18:04:03.63,-03:23:03.9,2000.0,05:54,1.54,1  WFC,60.1,180.0,B,,,,,20220302,20220303,59641.245833333334,271.015125,-3.3844166666666666,1.0
59,1601881,98943,18:04:03.85,-03:23:04.4,2000.0,05:56,1.53,3  WFC,60.1,180.0,R,,,,,20220302,20220303,59641.24722222222,271.01604166666664,-3.3845555555555555,1.0
60,1601882,98943,18:04:04.06,-03:23:04.9,2000.0,05:57,1.52,6  WFC,60.1,180.0,V,,,,,20220302,20220303,59641.24791666667,271.01691666666665,-3.3846944444444444,1.0
61,1601883,98943,18:04:04.27,-03:23:05.5,2000.0,05:58,1.51,8  WFC,60.0,180.0,R,,,,,20220302,20220303,59641.248611111114,271.0177916666666,-3.384861111111111,1.0
62,1601884,98943,18:04:04.48,-03:23:05.8,2000.0,06:00,1.51,1  WFC,60.0,180.0,z,,,,,20220302,20220303,59641.25,271.01866666666666,-3.3849444444444443,1.0
63,1601885,98943,18:04:04.69,-03:23:06.3,2000.0,06:01,1.5,3  WFC,60.0,180.0,R,,,,,20220302,20220303,59641.25069444445,271.0195416666666,-3.385083333333333,1.0
64,1601886,98943,18:04:04.92,-03:23:06.9,2000.0,06:03,1.49,6  WFC,60.1,180.0,B,,,,,20220302,20220303,59641.25208333333,271.02049999999997,-3.38525,1.0
65,1601887,98943,18:04:05.14,-03:23:07.5,2000.0,06:04,1.48,8  WFC,60.1,180.0,R,,,,,20220302,20220303,59641.25277777778,271.02141666666665,-3.3854166666666665,1.0
66,1601888,98943,18:04:05.35,-03:23:07.9,2000.0,06:05,1.48,2  WFC,60.0,180.0,V,,,,,20220302,20220303,59641.25347222222,271.0222916666666,-3.385527777777778,1.0
67,1601889,98943,18:04:05.56,-03:23:08.4,2000.0,06:07,1.47,5  WFC,60.0,180.0,R,,,,,20220302,20220303,59641.25486111111,271.0231666666666,-3.385666666666667,1.0
68,1601890,98943,18:04:05.77,-03:23:09.0,2000.0,06:08,1.46,8  WFC,60.1,180.0,z,,,,,20220302,20220303,59641.25555555556,271.0240416666666,-3.3858333333333333,1.0
69,1601891,98943,18:04:05.98,-03:23:09.3,2000.0,06:09,1.46,2  WFC,60.0,180.0,R,,,,,20220302,20220303,59641.25625,271.0249166666666,-3.3859166666666667,1.0
70,1601892,98943,18:04:06.22,-03:23:10.0,2000.0,06:11,1.45,5  WFC,60.1,180.0,B,,,,,20220302,20220303,59641.25763888889,271.0259166666666,-3.386111111111111,1.0
71,1601893,98943,18:04:06.44,-03:23:10.5,2000.0,06:12,1.44,8  WFC,60.1,180.0,R,,,,,20220302,20220303,59641.25833333333,271.0268333333333,-3.38625,1.0
72,1601894,98943,18:04:06.64,-03:23:11.0,2000.0,06:14,1.44,2  WFC,60.0,180.0,V,,,,,20220302,20220303,59641.259722222225,271.0276666666666,-3.386388888888889,1.0
73,1601895,98943,18:04:06.85,-03:23:11.4,2000.0,06:15,1.43,6  WFC,60.1,180.0,R,,,,,20220302,20220303,59641.260416666664,271.0285416666666,-3.3865,1.0
74,1601896,98943,18:04:07.06,-03:23:11.9,2000.0,06:16,1.43,0  WFC,60.0,180.0,z,,,,,20220302,20220303,59641.26111111111,271.02941666666663,-3.3866388888888888,1.0
75,1601897,98943,18:04:07.27,-03:23:12.4,2000.0,06:18,1.42,4  WFC,60.1,180.0,R,,,,,20220302,20220303,59641.2625,271.0302916666666,-3.3867777777777777,1.0
76,1601898,98943,18:04:07.51,-03:23:12.9,2000.0,06:19,1.41,8  WFC,60.0,180.0,B,,,,,20220302,20220303,59641.263194444444,271.0312916666666,-3.3869166666666666,1.0
77,1601899,98943,18:04:07.73,-03:23:13.5,2000.0,06:21,1.41,2  WFC,60.0,180.0,R,,,,,20220302,20220303,59641.26458333333,271.0322083333333,-3.3870833333333334,1.0
78,1601900,98943,18:04:07.94,-03:23:14.0,2000.0,06:22,1.4,6  WFC,60.1,180.0,V,,,,,20220302,20220303,59641.26527777778,271.0330833333333,-3.3872222222222224,1.0
79,1601901,98943,18:04:08.14,-03:23:14.4,2000.0,06:23,1.4,1  WFC,60.0,180.0,R,,,,,20220302,20220303,59641.26597222222,271.03391666666664,-3.3873333333333333,1.0
80,1601902,98943,18:04:08.36,-03:23:15.0,2000.0,06:25,1.39,6  WFC,60.0,180.0,z,,,,,20220302,20220303,59641.26736111111,271.0348333333333,-3.3875,1.0
