,Object,N_frames,RA_deg_med,Dec_deg_med,mjd_med,RA_deg_min,Dec_deg_min,mjd_min,RA_deg_max,Dec_deg_max,mjd_max,date_med
0,108P,6,104.15735416666666,37.26122222222222,59648.960763888885,104.14429166666666,37.25036111111111,59648.941666666666,104.1635,37.26991666666667,59648.97986111111,2022-03-10 23:03:30.000
1,10P,141,104.98319583333333,22.268916666666666,60017.915972222225,104.98259999999999,22.24913888888889,60016.86388888889,104.98752083333332,22.305416666666666,60019.98472222222,2023-03-14 21:59:00.000
2,121P,67,79.98333333333332,13.963027777777777,59905.17013888889,79.98329166666666,13.927999999999999,59904.114583333336,80.14166666666665,13.963055555555554,59905.211805555555,2022-11-22 04:05:00.000
3,137P,120,172.81308333333334,-2.253527777777778,59649.091319444444,172.81300000000002,-2.5604444444444443,59643.072916666664,173.5215833333333,-2.2535,59649.20694444444,2022-03-11 02:11:30.000
4,143P,225,18.783333333333328,11.425527777777777,59911.94305555556,18.654125,11.34913888888889,59902.88055555556,19.48333333333333,11.805555555555557,59913.90416666667,2022-11-28 22:38:00.000
5,150P,95,15.28745833333333,28.504416666666668,59904.92013888889,14.412416666666664,27.397194444444445,59902.88888888889,15.533333333333331,28.751194444444444,59913.975694444445,2022-11-21 22:05:00.000
6,15P,132,112.06012499999999,30.10425,59646.049305555556,0.0,0.0,59641.94375,167.575,30.346027777777778,59914.22430555556,2022-03-08 01:11:00.000
7,162P,288,187.0923333333333,22.420972222222222,59644.256250000006,186.41466666666665,22.276916666666665,59642.222916666666,187.55279166666665,22.61438888888889,59647.152083333334,2022-03-06 06:09:00.000
8,169P,649,183.94270833333331,0.011444444444444445,60021.14166666667,183.70279166666663,-0.6388888888888888,60017.09166666667,185.11249999999998,0.14483333333333334,60022.20763888889,2023-03-18 03:24:00.000
9,172P,499,112.22495833333332,34.57638888888889,59912.17847222222,63.258958333333325,29.585916666666666,59641.85902777778,112.95416666666665,34.68091666666666,59914.28333333333,2022-11-29 04:17:00.000
10,189P,28,315.9498541666667,7.981152777777778,59903.86597222222,315.9208333333333,7.974694444444444,59903.825694444444,316.72908333333334,8.149944444444444,59904.876388888886,2022-11-20 20:47:00.000
11,1997WB22,159,180.38925,17.603166666666667,60017.18263888889,179.48329166666664,17.591805555555556,60017.09652777778,180.40954166666666,18.108805555555556,60021.066666666666,2023-03-14 04:23:00.000
12,1998BU14,29,139.26964166666664,19.68872222222222,60018.08263888889,139.26794999999998,19.687527777777778,60018.06458333333,139.27152083333334,19.689833333333333,60018.1,2023-03-15 01:59:00.000
13,1998SV65,185,157.90354166666665,0.8255555555555555,60020.08819444444,157.60370833333332,0.8049166666666667,60019.989583333336,157.9210833333333,1.2131944444444445,60021.94305555556,2023-03-17 02:07:00.000
14,2000RD101,145,136.6826458333333,2.136138888888889,60017.027083333334,136.17297499999998,2.128138888888889,60016.95,136.69483749999998,2.1365,60020.89444444444,2023-03-14 00:39:00.000
15,22P,6,25.393375,3.917847222222222,59811.132986111115,25.24341666666666,3.815888888888889,59810.13333333333,25.414375,3.9698611111111113,59811.1625,2022-08-20 03:11:30.000
16,26P,29,72.35833333333332,3.6102777777777777,59905.13888888889,39.409083333333335,3.609888888888889,59648.85763888889,72.59166666666665,8.662166666666668,59905.15694444445,2022-11-22 03:20:00.000
17,29P,42,104.04583333333332,29.26136111111111,59903.18194444444,66.08291666666666,29.16838888888889,59648.87569444445,104.04583333333332,29.261444444444443,59903.20694444444,2022-11-20 04:22:00.000
18,300P,10,168.51235416666663,12.808347222222222,59645.12326388889,168.5043333333333,12.697194444444445,59644.06736111111,168.7597083333333,12.811861111111112,59645.15694444445,2022-03-07 02:57:30.000
19,388188,341,135.68316666666664,3.0803888888888893,59646.08611111111,135.11841666666663,2.8355833333333336,59644.896527777775,136.01679166666665,3.5244444444444443,59648.03958333333,2022-03-08 02:04:00.000
20,67P,18,126.25406249999999,26.207097222222224,59644.14548611111,126.15324999999999,-11.023861111111112,59643.11736111111,209.82495833333329,26.319222222222223,60018.229166666664,2022-03-06 03:29:30.000
21,73P,27,156.214375,30.503833333333333,59644.05,154.70529166666665,30.219583333333333,59642.99513888889,156.9700833333333,31.010416666666668,59648.126388888886,2022-03-06 01:12:00.000
22,7891,41,143.19166666666666,14.862472222222221,59903.23055555556,143.191625,14.862444444444444,59903.211805555555,143.19166666666666,14.86261111111111,59903.25,2022-11-20 05:32:00.000
23,7P,234,57.24164583333332,1.7360833333333334,59905.07083333333,55.454125,1.7257500000000001,59902.990277777775,57.637499999999996,1.7527777777777778,59914.03125,2022-11-22 01:42:00.000
24,81P,6,259.3749583333333,-19.063861111111112,60017.24791666667,259.3749583333333,-19.06388888888889,60017.24375,259.375,-19.063861111111112,60017.251388888886,2023-03-14 05:57:00.000
25,85275,78,184.31666666666666,15.26511111111111,59648.209027777775,184.29941666666664,15.250861111111112,59648.14513888889,184.33441666666664,15.280000000000001,59648.275,2022-03-10 05:01:00.000
26,88992,51,219.49129166666665,-13.423138888888888,59646.152083333334,219.49124999999998,-13.423138888888888,59646.104166666664,219.50774999999996,-13.407333333333334,59647.16736111111,2022-03-08 03:39:00.000
27,90403,110,78.29583333333332,53.33833333333334,59904.067708333336,78.29579166666666,53.33830555555556,59902.947222222225,79.08749999999999,53.42919444444444,59904.11041666667,2022-11-21 01:37:30.000
28,98943,68,271.0060208333333,-3.3830138888888888,59641.23611111111,270.97416666666663,-3.3885,59641.19861111111,271.04112499999997,-3.3780277777777776,59641.274305555555,2022-03-03 05:40:00.000
